cross,mean,SE,sex,environ,sire,dam
P1,64.14286,156.78231,U,1,1,1
P2,34.78571,70.43053,U,1,2,2
F1,77.28571,210.31973,U,1,2,1
rF1,85,94.61905,U,1,1,2
F2a,73.57143,52.13605,U,1,3,3
rF2b,68.71429,86.03401,U,1,3,4
F2b,60.28571,85.41497,U,1,4,3
F2c,80.57143,28.89796,U,1,4,4
BC1a,46.14286,49.06803,U,1,3,1
BC1b,73.71429,17.93878,U,1,4,1
rBC1a,75.14286,161.11565,U,1,1,3
rBC1b,88.71429,45.36735,U,1,1,4
rBC2a,95.57143,99.70748,U,1,3,2
rBC2b,58,291.7619,U,1,4,2
BC2a,69.14286,95.44898,U,1,2,3
BC2b,74.42857,111.65986,U,1,2,4
