cross,mean,SE,sex,environ,sire,dam
P1,93.8,4.741659344,U,1,1,1
P2,58.76,2.980648699,U,1,2,2
F1,45.29166667,4.656489615,U,1,2,1
rF1,90.875,6.947868117,U,1,1,2
F2a,33,3.535533906,U,1,3,3
rF2b,43.7,4.071718174,U,1,3,4
F2b,26.09090909,4.53362096,U,1,4,3
F2c,37.41666667,4.785486792,U,1,4,4
BC1a,39.65,3.499830823,U,1,3,1
BC1b,29.19047619,4.126349158,U,1,4,1
rBC1a,52.65,5.258714572,U,1,1,3
rBC1b,46.04761905,3.940918548,U,1,1,4
rBC2a,41.57142857,4.961552862,U,1,3,2
rBC2b,36.76190476,5.556594007,U,1,4,2
BC2a,13.5,2.413231073,U,1,2,3
BC2b,20.47619048,3.646014816,U,1,2,4
