"cross","mean","SE","sex","environ","sire","dam"
"p1",0.162029968666217,0.0562578945776292,"U",1,1,1
"p2",0.00934360224586289,0.00467642255580597,"U",1,2,2
"f1",0.214571394942158,0.120070883706656,"U",1,2,1
"rf1",0.0279787318153068,0.012259623364898,"U",1,1,2
"f2a",0.0368772893772894,0.0168637190817118,"U",1,3,3
"rf2b",0.0439325866216052,0.016486706457187,"U",1,3,4
"f2b",0.0276284426814204,0.00995846580515445,"U",1,4,3
"bc1a",0.00833449106233213,0.00445497297150484,"U",1,3,1
"bc1b",0.0134721038173724,0.00721398725275381,"U",1,4,1
"rbc1a",0.00563221627710504,0.0035983059813015,"U",1,1,3
"rbc1b",0.00486037469070343,0.00331645779229097,"U",1,1,4
"rbc2a",0.0166777981995373,0.00574443754483973,"U",1,3,2
"rbc2b",0.019047619047619,0.00952380952380952,"U",1,4,2
"bc2a",0.0285714285714286,0.0285714285714286,"U",1,2,3
"bc2b",0.0287081339712919,0.0185926882561966,"U",1,2,4
