"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0175098375235016,0.00662505606929856,"U",1,1,1
"p2",0.0541902809993168,0.0238248638407004,"U",1,2,2
"f1",0.0295380805449195,0.0127426437664951,"U",1,2,1
"rf1",0.0783822830057495,0.0167482245578006,"U",1,1,2
"f2a",0.0119047619047619,0.0119047619047619,"U",1,3,3
"rf2b",0.0333946078431373,0.017478585567634,"U",1,3,4
"f2b",0.0741761559696342,0.0494772907930251,"U",1,4,3
"bc1a",0.204272378926757,0.0629515183615939,"U",1,3,1
"bc1b",0.034236701247103,0.0252698606580819,"U",1,4,1
"rbc1a",0.0430855161787365,0.0173748919798552,"U",1,1,3
"rbc1b",0.398198590232823,0.0395681595065876,"U",1,1,4
"rbc2a",0.0874212672740918,0.0394410336221315,"U",1,3,2
"rbc2b",0.281753778628779,0.062243424711038,"U",1,4,2
"bc2a",0.177763413057531,0.0691759946404735,"U",1,2,3
"bc2b",0.0360042735042735,0.017874751292523,"U",1,2,4
