cross,mean,SE,sex,environ,sire,dam
P1,35.14286,9.87886,U,1,1,1
P2,61.28571,6.17489,U,1,2,2
F1,51,4.95215,U,1,2,1
rF1,63.33333,10.9443,U,1,1,2
F2a,52.42857,11.80165,U,1,3,3
rF2b,72.5,6.52048,U,1,3,4
F2b,64.42857,2.91839,U,1,4,3
F2c,61.28571,5.60915,U,1,4,4
BC1a,85.28571,8.3144,U,1,3,1
BC1b,79.71429,12.2954,U,1,4,1
rBC1a,66.14286,7.40472,U,1,1,3
rBC1b,55.66667,8.66282,U,1,1,4
rBC2a,33.14286,6.88486,U,1,3,2
rBC2b,37.85714,4.32285,U,1,4,2
BC2a,60.71429,6.14009,U,1,2,3
BC2b,48.42857,9.3168,U,1,2,4
