"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0327380952380952,0.0242048389923304,"U",1,1,1
"p2",0.00934360224586289,0.00467642255580597,"U",1,2,2
"f1",0.0364357864357864,0.031911627007493,"U",1,2,1
"rf1",0.00884955752212389,0.0088495575221239,"U",1,1,2
"f2a",0.00793650793650794,0.00793650793650794,"U",1,3,3
"rf2b",0.0925699548111928,0.0300641481785865,"U",1,3,4
"f2b",0.0269827795294688,0.0174247574966894,"U",1,4,3
"bc1a",0.0376984126984127,0.0312208543853507,"U",1,3,1
"bc1b",0.089916793568479,0.0569967878531065,"U",1,4,1
"rbc1a",0.0344162460777315,0.0185294266704909,"U",1,1,3
"rbc1b",0.0512108630768051,0.0166769378790404,"U",1,1,4
"rbc2a",0.028403883881412,0.0146078644958985,"U",1,3,2
"rbc2b",0.0606642056407207,0.0167140528200977,"U",1,4,2
"bc2a",0.00332225913621262,0.00332225913621262,"U",1,2,3
"bc2b",0.0492884308673782,0.0206153856024898,"U",1,2,4
