cross,mean,SE,sex,environ,sire,dam
P1,9.28571,3.076132,U,1,1,1
P2,25.71429,9.133179,U,1,2,2
F1,43.42857,6.293826,U,1,2,1
rF1,28,3.891382,U,1,1,2
F2a,18.85714,4.717892,U,1,3,3
rF2b,22,4.482771,U,1,3,4
F2b,31.57143,7.060477,U,1,4,3
F2c,31.42857,5.158706,U,1,4,4
BC1a,48.71429,6.490705,U,1,3,1
BC1b,41.28571,6.610649,U,1,4,1
rBC1a,18.42857,3.835034,U,1,1,3
rBC1b,17.85714,3.996597,U,1,1,4
rBC2a,23.57143,7.969756,U,1,3,2
rBC2b,24.85714,6.540819,U,1,4,2
BC2a,27.57143,6.159998,U,1,2,3
BC2b,25.83333,5.035982,U,1,2,4
