cross,mean,SE,sex,environ,sire,dam
P1,135,28.36879433,U,42.5,1,1
BC1,57.5,14.18439716,U,42.5,1,3
F1,190,45.39007092,U,42.5,1,6
F2,30,9.929078014,U,42.5,3,3
BC2,30,9.929078014,U,42.5,6,3
P2,15,3.546099291,U,42.5,6,6
P1,250,28.30188679,U,48.5,7,7
BC1,200,35.37735849,U,48.5,7,9
F1,207.5,46.69811321,U,48.5,7,12
F2,30,14.1509434,U,48.5,9,9
BC2,32.5,12.73584906,U,48.5,12,9
P2,92.5,31.13207547,U,48.5,12,12
P1,105,21.22641509,U,33.33333333,13,13
BC1,120,18.39622642,U,33.33333333,13,15
F1,52.5,25.47169811,U,33.33333333,13,18
F2,80,45.28301887,U,33.33333333,15,15
BC2,52.5,21.22641509,U,33.33333333,18,15
P2,20,4.952830189,U,33.33333333,18,18
P1,230,40.38461538,U,54.23611111,19,19
BC1,92.5,20.19230769,U,54.23611111,19,21
F1,110,38.94230769,U,54.23611111,19,24
F2,25,5.769230769,U,54.23611111,21,21
BC2,50,17.30769231,U,54.23611111,24,21
P2,30,9.375,U,54.23611111,24,24
P1,67.5,14.5631068,U,33.2708333,25,25
BC1,50,13.10679612,U,33.2708333,25,27
F1,40,8.737864078,U,33.2708333,25,30
F2,5,3.640776699,U,33.2708333,27,27
BC2,10,6.553398058,U,33.2708333,30,27
P2,7.5,4.368932039,U,33.2708333,30,30
P1,50,14.5631068,U,49.84375,31,31
BC1,30,5.825242718,U,49.84375,31,33
F1,20,6.553398058,U,49.84375,31,36
F2,7.5,2.912621359,U,49.84375,33,33
BC2,10,3.640776699,U,49.84375,36,33
P2,0.5,2.89855072,U,49.84375,36,36
