"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0202020202020202,0.0202020202020202,"U",1,1,1
"p2",0.00704225352112676,0.00704225352112676,"U",1,2,2
"f1",0,1e-05,"U",1,2,1
"rf1",0.0616003647835946,0.0435516285339498,"U",1,1,2
"f2a",0.1671875,0.0555703957733678,"U",1,3,3
"rf2b",0.118515037593985,0.0611090919392829,"U",1,3,4
"f2b",0.0529135338345865,0.0489596708203614,"U",1,4,3
"bc1a",0.124276521419379,0.0720064209583373,"U",1,3,1
"bc1b",0.36345523460118,0.0495355587900613,"U",1,4,1
"rbc1a",0.533008247879442,0.0677337372924545,"U",1,1,3
"rbc1b",0.015491452991453,0.0103168845704209,"U",1,1,4
"rbc2a",0.317506943918296,0.0829475082858356,"U",1,3,2
"rbc2b",0.0167961099479976,0.00861371370081237,"U",1,4,2
"bc2a",0,1e-05,"U",1,2,3
"bc2b",0.0178571428571429,0.0178571428571429,"U",1,2,4
