"cross","mean","SE","sex","environ","sire","dam"
"p1",0.100657894736842,0.0441007626910149,"U",1,1,1
"p2",0.00518997258127693,0.00359814826966306,"U",1,2,2
"f1",0.1359599160623,0.0315837333993047,"U",1,2,1
"rf1",0.0598799348799349,0.0320518069483025,"U",1,1,2
"f2a",0.0650831729998397,0.033444513109175,"U",1,3,3
"rf2b",0,1e-05,"U",1,3,4
"f2b",0.124559256102771,0.0438166202983276,"U",1,4,3
"bc1a",0.273818646232439,0.156388238304255,"U",1,3,1
"bc1b",0.0508107483913936,0.014290490622469,"U",1,4,1
"rbc1a",0.0328659159223943,0.0156573321793606,"U",1,1,3
"rbc1b",0.158133210251563,0.0581647327962389,"U",1,1,4
"rbc2a",0.262673338566196,0.152887585177654,"U",1,3,2
"rbc2b",0.13990848498127,0.0600143450355002,"U",1,4,2
"bc2a",0.239590159296042,0.0507974129011995,"U",1,2,3
"bc2b",0.217417075531995,0.0556136926905483,"U",1,2,4
