cross,mean,SE,sex,environ,sire,dam
P1,60.04347826,2.936399789,U,1,1,1
P2,58.76,2.980648699,U,1,2,2
F1,69.83333333,5.272524719,U,1,2,1
rF1,73.20833333,5.267819712,U,1,1,2
F2a,36.25,4.835357465,U,1,3,3
rF2b,49.08333333,4.101844251,U,1,3,4
F2b,25.41666667,5.680186634,U,1,4,3
F2c,34.91666667,6.065873658,U,1,4,4
BC1a,43.72727273,3.681109974,U,1,3,1
BC1b,38.85,3.474171617,U,1,4,1
rBC1a,51.66666667,4.573908058,U,1,1,3
rBC1b,58.42857143,5.151777977,U,1,1,4
rBC2a,25.33333333,4.612784168,U,1,3,2
rBC2b,26.52380952,3.869673942,U,1,4,2
BC2a,8.952380952,2.200082456,U,1,2,3
BC2b,19.95238095,2.071893763,U,1,2,4
