"mesocosm","week","treatment","volume_ml","colonies"
1,0,"Ambient",1.28036231640726,9
1,1,"Ambient",0.995979028521106,8
1,2,"Ambient",1.15856119571254,21
1,3,"Ambient",0.592245136154816,5
2,0,"Ambient",0.656593127408996,20
2,1,"Ambient",0.664628555066884,17
2,2,"Ambient",0.699228054145351,14
2,3,"Ambient",0.738746773917228,21
3,0,"Ambient",0.746723725926131,14
3,1,"Ambient",1.35970544046722,33
3,2,"Ambient",1.0873048203066,25
3,3,"Ambient",0.539093493949622,7
4,0,"Ambient",1.17672714078799,12
4,1,"Ambient",0.73112556966953,7
4,2,"Ambient",1.03193255746737,8
4,3,"Ambient",1.20097727049142,21
5,0,"Ambient",1.12560919183306,8
5,1,"Ambient",0.712190392659977,7
5,2,"Ambient",0.777293770574033,13
5,3,"Ambient",0.938329589786008,15
6,0,"Ambient",0.593587503302842,2
6,1,"Ambient",1.00645617814735,8
6,2,"Ambient",1.11314403661527,15
6,3,"Ambient",0.769075340591371,5
7,0,"Ambient",0.518076106440276,4
7,1,"Ambient",0.504802429117262,9
7,2,"Ambient",0.592555046314374,6
7,3,"Ambient",0.609478150494397,6
8,0,"Ambient",1.47580339293927,29
8,1,"Ambient",0.526261417195201,13
8,2,"Ambient",0.504125803010538,24
8,3,"Ambient",0.547056945040822,13
9,0,"Ambient",1.25109620089643,9
9,1,"Ambient",1.17399608646519,12
9,2,"Ambient",0.621062210062519,7
9,3,"Ambient",0.941643731668591,11
10,0,"Ambient",1.12783156963997,5
10,1,"Ambient",0.521285790717229,2
10,2,"Ambient",1.39583140192553,5
10,3,"Ambient",1.36427108175121,6
11,0,"Ambient",1.38213922199793,22
11,1,"Ambient",1.22756976494566,26
11,2,"Ambient",0.787760337581858,8
11,3,"Ambient",0.589526564115658,14
12,0,"Ambient",1.13079937035218,7
12,1,"Ambient",0.922484100796282,3
12,2,"Ambient",0.608108802465722,2
12,3,"Ambient",1.30800924659707,10
13,0,"Ambient",0.876554475165904,0
13,1,"Ambient",1.4289964325726,0
13,2,"Ambient",1.23847192642279,3
