"add","dom","epi","file","refile","class","kingdom","domestication","trait","species","SCS","divergence","weighted","method"
NA,NA,NA,"A.tetanothrixa.csv","A.tetanothrixa.csv","M","plant","wild","herbivore density","Salix eriocephala, Salix sericea","NSC","between","Y","standard"
0,0,1,"acetyl.red.csv","acetyl.red.csv","M","plant","wild","acetylene reduced (nmoles/h)","Desmodium sandwicense","NSC","within","Y","PSU"
0.365620080773821,0,0.634379919226179,"ACO.fecund.csv","ACO.fecund.csv","LH","animal","domestic","BxACO fecundity","Drosophila melanogaster","XY","within","Y","standard"
1,0,0,"ACO.fem.starv.csv","ACO.fem.starv.csv","LH","animal","domestic","BxACO female starvation resist","Drosophila melanogaster","XY","within","Y","standard"
0.898046502481346,0,0.101953497518654,"ACO.fem.time.csv","ACO.fem.time.csv","LH","animal","domestic","BxACO fem develop time","Drosophila melanogaster","XY","within","Y","standard"
0.347826086956523,0,0.652173913043477,"ACO.femwt.csv","ACO.femwt.csv","M","animal","domestic","BxACO female weight","Drosophila melanogaster","XY","within","Y","standard"
0.750000015062409,0,0.249999984937591,"ACO.male.starv.csv","ACO.male.starv.csv","LH","animal","domestic","BxACO male starvation resist","Drosophila melanogaster","XY","within","Y","standard"
1,0,0,"ACO.male.time.csv","ACO.male.time.csv","LH","animal","domestic","BxACO male develop time","Drosophila melanogaster","XY","within","Y","standard"
0.656381540809148,0,0.343618459190852,"ACO.malewt.csv","ACO.malewt.csv","M","animal","domestic","BxACO male weight","Drosophila melanogaster","XY","within","Y","standard"
0,0,1,"adven.root.csv","adven.root.csv","M","plant","domestic","number of adventitious roots","Zea mays","NSC","within","N","PSU"
NA,NA,NA,"aphid.num.csv","aphid.num.csv","M","plant","wild","total number of aphids","Salix eriocephala, Salix sericea","NSC","between","Y","standard"
NA,NA,NA,"aphid.survA.csv","aphid.survA.csv","M","plant","wild","aphid survival","Salix eriocephala, Salix sericea","NSC","between","Y","standard"
