score,method,sex
0.33,comp.,male
0.52,comp.,male
0.2,comp.,male
0.73,paper,male
0.32,comp.,male
0.96,paper,female
0.78,paper,male
0.69,paper,female
0.79,paper,male
0.46,comp.,male
0.83,paper,female
0.55,comp.,male
0.57,paper,female
0.64,comp.,female
0.58,comp.,male
0.63,paper,male
0.57,comp.,male
0.54,comp.,female
0.36,comp.,male
0.7,paper,female
0.89,paper,female
0.65,paper,female
0.84,paper,male
0.55,comp.,male
0.56,paper,male
0.73,paper,male
0.51,comp.,female
0.59,paper,female
0.75,comp.,female
0.59,comp.,male
0.89,paper,male
0.46,comp.,male
0.51,comp.,female
0.59,comp.,male
0.42,comp.,female
0.53,comp.,female
0.64,comp.,male
0.95,paper,female
0.74,paper,female
0.68,comp.,female
0.77,paper,female
0.64,comp.,male
0.52,paper,female
0.63,paper,male
0.84,paper,male
0.53,paper,male
0.72,paper,female
0.21,comp.,male
0.59,comp.,female
0.64,paper,female
0.62,paper,female
0.52,comp.,male
0.34,paper,female
0.6,comp.,male
0.61,paper,male
0.53,comp.,female
0.69,comp.,male
0.83,paper,male
0.65,paper,male
0.59,comp.,male
