,par1,par2,par3
1,0.440241938,1.803085233,2.045419065
2,0.792500528,3.543184687,2.209240295
3,0.046934142,3.071804275,2.606823846
4,2.017261649,2.984538713,4.064598676
5,0.007209821,0.904403346,2.626368186
6,0.123825858,1.335164451,6.353806058
7,0.44088732,0.860913783,3.433531988
8,0.418978059,2.016120241,2.175072567
9,0.490139946,1.914926419,4.514344551
10,0.294504309,4.396780902,4.363870926
11,1.432936355,1.031364208,2.804271738
12,1.68561634,0.855805123,2.188225552
13,1.001907551,0.893762452,5.436835255
14,0.479101224,1.41066729,2.265287866
15,0.675477374,1.48707071,2.527988533
16,0.832632733,1.669448412,11.09983692
17,0.140457871,2.843414134,5.041454058
18,0.49809717,0.916297054,2.825412255
19,0.785957875,1.507871089,2.706745282
20,0.310440557,1.261890462,2.507410426
21,0.890950298,1.647327365,8.151426464
22,1.390148931,2.160016182,3.326330601
23,0.987379313,2.875285306,2.097347561
24,0.107154005,1.523107012,2.68318612
25,0.130816588,0.866240586,2.183666775
26,0.747218176,1.995793023,3.325376799
27,0.26977349,0.963539281,9.064416032
28,0.514599035,2.045351628,8.925894215
29,0.170817831,1.457185192,3.56432611
30,0.164210463,2.482508625,2.179513343
31,0.274356591,2.88701464,3.35078469
32,0.027120012,1.474453442,8.220141336
33,0.600388067,2.57310887,3.427506154
34,0.208022704,3.163122059,2.136013537
35,0.088459243,1.261228939,4.064045876
36,0.194936637,2.005049874,2.263210948
37,1.03883811,1.063823341,5.149652908
38,0.112550093,1.055127442,15.48563286
39,0.630001811,1.108732747,2.699956037
40,0.171081979,2.000424625,6.499688018
41,0.49343917,1.668847045,3.236128649
42,0.476754842,0.803324283,3.443355387
43,0.64612315,1.05354571,2.61090507
44,0.151667833,1.400835383,5.647230059
45,0.722657861,1.952990158,7.191649795
46,0.363306041,2.257113572,4.818428878
47,0.060878492,1.535037712,3.195223953
48,0.083778169,1.346022487,9.754903029
49,0.271182269,0.925827702,3.346148527
50,0.331423888,1.571281038,4.0449942
51,0.517498831,1.296839011,4.157941099
52,0.077136002,1.359049425,2.933574543
53,1.593693189,1.848930966,2.32419294
54,0.660703192,4.769402751,3.33419884
55,0.133003473,2.977699108,10.79127178
56,0.522029498,1.40236894,3.760704445
57,0.259543857,1.445885571,4.200998802
58,0.753668874,0.967938846,2.640419425
59,0.991787967,1.245260675,2.335624811
60,2.113312531,0.806768509,2.119961095
61,0.756509012,3.748748385,2.204530031
62,0.053770319,1.897713834,6.425061661
63,0.016193488,1.456621894,2.06825812
64,1.287805539,0.909495764,2.360230964
65,0.624471639,1.211968425,2.185148157
66,0.00080315,1.059949101,2.689135597
67,0.125823199,1.973237397,3.00864327
68,0.007616975,1.790810252,2.333263175
69,0.142347401,1.034438126,8.939620572
70,0.12764692,1.070113419,5.129784967
71,0.893480079,0.894322541,4.397758488
72,0.064142099,5.264299506,4.275021896
73,0.008391163,4.408196815,2.249101256
74,1.964137132,0.847646011,3.109766004
75,0.065541595,1.83248165,11.07591323
76,0.034491085,1.422163323,2.757123203
77,1.000951286,0.981364732,3.554473223
78,0.164966726,1.722042201,3.679851756
79,0.325378529,1.498647327,2.551601629
80,0.182356075,0.877308533,2.214184494
81,0.076678963,0.811897924,2.179020402
82,0.113769178,1.823293827,2.53449623
83,0.492765655,0.828395518,2.709218894
84,0.64035716,2.675120468,3.563613625
85,0.350586045,1.665023077,2.164915328
86,0.293622063,4.243441972,4.73109
87,1.226952859,1.916516049,5.264250431
88,0.13313929,2.587095588,2.885981053
89,0.296862863,2.729581901,3.557873387
90,0.237866428,2.911324983,6.220734942
91,0.584425843,3.432921802,2.036390608
92,0.034715729,2.689348525,3.525351705
93,0.185308894,3.681620161,7.080949831
94,0.238513629,1.914598954,3.507644823
95,0.447338138,3.230117202,2.916077025
96,1.004532731,2.083209398,5.077740829
97,0.31597861,1.847814062,2.036762294
98,0.164330091,1.605189673,4.032727094
99,0.469771424,1.212041934,2.915759416
100,1.369530554,4.023499276,6.025449201
101,0.011775745,1.518256822,2.100015891
102,0.110410514,2.283705993,3.44015596
103,0.321200926,1.049197293,3.546005204
104,0.212815453,1.412411509,2.962980364
105,0.477328776,2.939651128,4.089780608
106,0.434457095,2.663082947,2.173747362
107,0.239301493,1.057890912,2.365268123
108,0.593127243,1.06790714,5.266942359
109,0.818010245,2.028293463,2.363207437
110,0.385825022,4.237202751,2.470848284
111,0.526653879,0.859966305,2.354308429
112,1.044598432,1.013039026,3.222119579
113,0.655473344,0.858012821,5.6263148
114,0.926662005,3.787156056,9.829928767
115,1.345789843,1.015830934,2.806266843
