Country,Circumference,MeanTempWarmestQuart,MeanPrecipWarmestQuart,specialist,generalist
Norway,592,15.8,257,3,15
Norway,680,14.7,455,1,4
Norway,340,14.5,458,1,3
Norway,310,14.5,458,4,5
Norway,260,14.5,458,2,6
Norway,370,14.5,458,0,3
Norway,313,15.2,255,2,7
Norway,235,14.3,459,1,7
Norway,674,13.9,798,1,8
Norway,717,13.9,798,0,3
Norway,798,13.9,798,1,11
Norway,488,13.9,798,1,7
Norway,596,13.9,798,1,6
Norway,573,16,251,2,5
Norway,310,14.9,258,1,2
Norway,150,14.9,258,3,6
Norway,380,14.9,258,1,2
Norway,220,14.9,258,2,2
Norway,280,15,257,2,2
Norway,178,15.2,254,2,3
Norway,275,15.1,254,3,6
Norway,162,15.1,254,2,4
Norway,192,15.1,254,3,11
Norway,280,15.1,254,2,4
Norway,192,15.1,254,3,9
Norway,581,15.2,261,1,7
Norway,195,15.7,249,1,5
Norway,310,14.1,349,1,8
Norway,210,14.1,349,3,12
Norway,180,14.1,349,3,10
Norway,150,14.1,349,0,5
Norway,170,14.1,349,2,11
Norway,185,14.3,459,1,3
Norway,270,14.4,455,2,4
Norway,496,15.9,246,0,2
Norway,133,12.9,439,1,4
Norway,200,13.2,443,1,5
Norway,226.5,15.1,255,1,5
Norway,385,12.8,402,1,9
Norway,240,12.9,433,3,7
Norway,209,14.7,428,1,2
Norway,278,15.6,251,1,9
Norway,660,15.9,248,4,5
Norway,540,15.9,248,6,7
Norway,410,15.9,248,7,3
Norway,495,15.9,248,4,10
Norway,350,15.9,248,0,0
Norway,545,15.8,262,1,6
Norway,545,15.8,262,3,9
Norway,377,15.8,262,3,6
Norway,371,15.8,262,3,6
Norway,290,15.4,266,2,4
Norway,730,15.7,249,3,5
Norway,138,14.3,263,2,7
Norway,235,14.7,260,4,13
Norway,511,14.9,266,2,3
Norway,472,15.1,255,5,22
Norway,161,15.6,249,1,8
Norway,260,16.1,244,1,0
Norway,220,16.1,244,0,5
Norway,285,16.1,244,3,8
Norway,405,16.1,244,4,3
Norway,380,16.1,244,4,3
Norway,420,15.9,253,3,4
Norway,260,15.9,253,1,0
Norway,400,15.9,253,4,8
Norway,210,15.9,253,1,4
Norway,190,15.9,253,3,3
Norway,373,15.8,249,3,6
Norway,102,15.3,254,0,3
Norway,150,15.9,248,4,8
Norway,193,15.9,248,3,3
Norway,345,15.9,248,0,4
Norway,60,15.9,248,1,8
Norway,246,15.9,248,2,5
Norway,310,15.2,254,4,5
Norway,512,15.8,257,3,2
Norway,200,13.5,434,0,5
Norway,365,14.3,263,1,6
Norway,272,14.6,264,0,3
Norway,258,15.1,256,3,11
Norway,154,15.6,251,2,3
Norway,80,14.5,439,0,2
Norway,170,12.5,366,1,6
Norway,260,12.5,366,2,3
Norway,100,12.9,362,1,2
Norway,230,12.9,362,3,3
Norway,230,12.9,362,1,3
Norway,302,14.2,737,1,1
Norway,426,14.2,737,0,6
Norway,411,14.2,737,1,3
Norway,504,14.2,737,1,8
Norway,341,14.2,737,1,6
Norway,136,12.7,431,1,6
Norway,157,13.9,292,0,2
Norway,141,13.2,300,1,4
Norway,251,13.2,300,2,4
Norway,188,13.2,300,2,4
Norway,126,13.2,300,1,5
Norway,260,14.3,263,2,10
Norway,279,15.7,249,0,4
Norway,141,13.3,299,0,7
Norway,251,13.3,299,2,4
Norway,220,13.3,299,2,8
Norway,204,13.3,299,3,6
Norway,397,14.7,451,1,4
Norway,378,15.3,254,2,7
Norway,284,14.5,459,0,6
Norway,289,16.1,251,0,6
Norway,184,13.6,474,3,9
Norway,89,14.3,447,0,3
Norway,168,15.3,254,1,7
Norway,174,15.6,252,1,1
Norway,280,15.2,254,1,7
Norway,370,15.4,252,2,6
