"plant","control","shaded"
1,15.2814577712788,12.6839981994452
2,12.9668676942456,11.611469977333
3,19.0552980882258,19.7852502878579
4,14.1404402330399,12.4842119069942
5,12.8207158930959,12.7003378907753
6,12.5404935890087,12.2260281874056
7,13.1161141030021,12.3722878937583
8,13.673500968607,12.2604666159574
9,16.5603694841465,16.0302551417882
10,12.5451969517191,14.2277787864619
11,19.4563297102879,17.7053216397056
12,14.9093401924241,12.3685448728131
13,16.626200371923,14.6786491064198
14,18.2532410909684,16.4190484003262
15,16.3615686761801,14.5505178417448
16,12.0735595902604,13.3034200138065
17,14.3534897101743,10.9119355203638
18,16.4018164549464,17.0426474266438
19,14.8775892100141,15.8857565494097
20,17.0591144488558,16.2123971265336
21,13.786418380476,13.9195136505544
22,10.6771217464053,11.0824650664917
23,16.1273543736597,15.6853908049027
24,9.6427246943384,8.43339773870547
25,9.98082051555818,9.14975947086278
26,17.7818826078913,14.220591792017
27,16.7939339727464,14.9036222521118
28,15.144877449481,12.9240524185754
