"insect","condition","activity_score"
1,"Dim",6
1,"Moderate",7
1,"Bright",7
2,"Dim",7
2,"Moderate",7
2,"Bright",8
3,"Dim",7
3,"Moderate",6
3,"Bright",8
4,"Dim",7
4,"Moderate",10
4,"Bright",10
5,"Dim",7
5,"Moderate",9
5,"Bright",10
6,"Dim",5
6,"Moderate",6
6,"Bright",7
7,"Dim",4
7,"Moderate",5
7,"Bright",7
8,"Dim",8
8,"Moderate",10
8,"Bright",10
9,"Dim",7
9,"Moderate",8
9,"Bright",10
10,"Dim",3
10,"Moderate",4
10,"Bright",6
11,"Dim",5
11,"Moderate",6
11,"Bright",6
12,"Dim",5
12,"Moderate",4
12,"Bright",3
13,"Dim",4
13,"Moderate",7
13,"Bright",6
14,"Dim",5
14,"Moderate",5
14,"Bright",6
15,"Dim",5
15,"Moderate",3
15,"Bright",7
16,"Dim",5
16,"Moderate",7
16,"Bright",7
17,"Dim",5
17,"Moderate",5
17,"Bright",6
18,"Dim",6
18,"Moderate",6
18,"Bright",6
