,Canada,Lithuania,Switzerland,Argentina,Ghana,Saudi.Arabia,Slovenia,Spain,Oman,New.Zealand,United.Arab.Emirates,Uruguay,India,Kenya,Turkey,Hungary,France,Norway,China,Finland,Sweden,Bulgaria,Romania,South.Africa,Cyprus,Qatar,Malaysia,Austria,Japan,Brazil,Costa.Rica,Luxembourg,Ireland,Pakistan,Nigeria,Ecuador,Czech.Republic,Brunei,Australia,Iran,Chile,Belgium,Thailand,Georgia,Poland,Portugal,Estonia,Lebanon,South.Korea,Taiwan,Italy,USA,Netherlands,Israel,Indonesia,Germany,Denmark,Sri.Lanka,Mexico,Egypt,Singapore,Serbia,United.Kingdom,Greece,Russia,Yemen,Kazakhstan,Kuwait,Tanzania,Slovakia,Algeria,Tunisia,Colombia,Nepal,Cameroon,Vietnam,Venezuela,Iraq,Botswana,Bangladesh,Zimbabwe,Philippines,Croatia,Ukraine,Jordan,Mauritius,Ethiopia,Uganda,Iceland,Latvia,Bosnia.and.Herzegovina,Morocco,Malta,Senegal,Papua.New.Guinea,Albania,Peru,Bahrain,Macedonia,Cambodia,Jamaica,Belarus,Zambia,Malawi,Kyrgyzstan,Trinidad.and.Tobago,Armenia,Sudan,Syria,Cuba,Moldova,Namibia
Canada,1614.133699,6697,6125,8987,8498,10352,6592,5712,11105,14456,10796,9041,11401,11820,8225,6812,5687,5634,10544,6278,6009,7417,7446,13011,8585,10479,14623,6577,10382,7282,4009,5845,4907,10733,8665,5042,6342,14371,16084,9611,8725,5712,13500,8818,6599,5419,6331,8878,10568,11992,6793,731,5645,8926,15629,6162,5936,13789,3591,8864,14850,7097,5401,7738,7215,10981,9822,9976,12420,6628,6441,6956,4521,11729,9536,13764,4007,9410,12759,12272,12633,13192,6747,7245,9074,14910,11120,11405,3876,6494,7040,5896,7284,6426,14256,7265,6374,10435,7306,13735,3039,6877,12286,12537,9853,4087,8805,10185,8932,2536,7380,11933
Lithuania,6697,130.5216866,1562,12638,5907,3777,1189,2671,4408,17317,4113,12506,5056,6211,1753,898,1739,1063,6638,662,717,1343,1116,8798,2203,3817,8831,927,8279,10298,10345,1404,2087,4363,5696,10905,875,9542,15223,2915,13294,1505,7852,2122,367,3161,556,2461,7418,8161,1728,7320,1394,2562,9983,831,844,7197,10284,2715,9150,1167,1734,1791,791,4631,3895,3325,6808,888,2643,2320,10207,5652,5807,8461,9260,2769,8681,6327,7924,9093,1208,562,2686,8788,5144,6039,2833,241,1323,3440,2195,5799,12853,1503,11893,3768,1373,8313,9165,180,7686,7504,3796,8838,2110,4380,2486,9021,820,8492
Switzerland,6125,1562,103.7994586,11076,4614,4282,553,1116,5222,18851,4847,10944,6306,5980,2214,909,438,1462,8199,1926,1603,1351,1492,8187,2500,4494,10093,713,9807,8742,9317,415,1247,5638,4467,9678,687,10956,16593,3867,11756,495,9198,3086,1201,1623,1844,2790,8975,9711,703,6629,684,2821,11215,799,1060,8168,9652,2739,10419,1056,761,1616,2337,4857,5357,3997,6606,774,1170,1136,8973,6984,4797,9849,7994,3447,8020,7667,7413,10606,683,1767,2970,8920,5085,5678,2669,1609,944,1880,1292,4248,14406,1148,10531,4461,1218,9686,8130,1650,7120,7087,5229,7511,3063,4178,2853,8147,1641,7634
Argentina,8987,12638,11076,851.777741,7519,12819,11507,9968,13826,10039,13510,215,15778,10428,12400,11868,10938,12135,19275,12879,12486,11859,12167,8204,12229,13289,15990,11749,18323,2370,5593,11271,10905,15554,7860,4321,11763,16646,11806,13737,1131,11195,16855,13383,12276,9491,12826,12305,19402,18999,11064,8318,11364,12193,15291,11834,11970,14719,7341,11793,15901,11780,11052,11647,13408,12080,16070,13169,10339,11800,10065,10551,4604,16476,8373,17011,4980,13040,8057,16757,8905,17783,11544,12759,12242,10970,11216,10095,11365,12660,11585,9204,10845,6881,14495,11554,3081,13322,11726,16940,6099,12720,8805,9387,15862,4976,13354,11035,12372,6837,12504,7381
Ghana,8498,5907,4614,7519,249.4900639,5411,4756,3908,6552,15969,6168,7325,8480,4126,5008,5009,4787,6073,11844,6455,6191,4708,5021,4523,4759,5883,11242,5016,13870,5721,9286,4999,5365,8099,367,8746,5174,12655,15398,6218,8549,5020,10986,5913,5567,3789,6357,4801,12785,12863,4193,8540,5239,4683,11897,5365,5667,8803,10786,4283,11503,4771,5112,4365,6486,4930,8564,5682,4518,5041,3461,3599,8226,9269,1275,11688,7409,5520,4276,9815,4184,13144,4707,5747,4726,6867,4267,3631,6783,6057,4595,3200,3725,2178,16356,4457,8732,5905,4617,11483,8456,5895,3840,4212,8349,6789,5886,3720,4865,9016,5408,3531
Saudi.Arabia,10352,3777,4282,12819,5411,748.9633476,3777,5003,1194,14864,778,12611,3069,2989,2128,3540,4712,4807,6629,4344,4494,2948,2907,5810,1782,474,6319,3776,8752,11123,13477,4518,5456,2735,5049,13542,4011,7551,12577,1306,13907,4653,5749,1790,3794,5468,4260,1492,7588,7459,3683,10899,4709,1470,7303,4196,4446,4046,13922,1669,6633,3264,4966,2684,3530,1040,3481,562,3446,3725,4382,3745,12871,3859,4447,6469,11889,1026,5797,4431,4883,7787,3625,3216,1323,5037,1884,3084,6572,4009,3341,5277,3350,6794,11469,3136,13958,504,3069,6269,12316,3605,4778,4369,3251,11312,1788,1787,1430,12414,3009,6040
Slovenia,6592,1189,553,11507,4756,3777,72.72764438,1612,4685,18330,4315,11366,5757,5666,1680,375,949,1478,7771,1699,1467,829,941,8020,1997,3967,9542,264,9463,9197,9862,747,1686,5092,4568,10230,446,10421,16043,3316,12232,880,8654,2534,827,2133,1601,2290,8579,9247,566,7122,971,2334,10663,676,1017,7624,10146,2300,9867,517,1192,1166,1909,4410,4846,3467,6288,302,1461,1158,9526,6440,4778,9310,8546,2912,7870,7124,7204,10107,155,1268,2482,8526,4711,5403,2982,1307,453,2310,1130,4637,13937,695,11073,3932,714,9145,8674,1230,6929,6842,4710,8060,2510,3833,2347,8674,1100,7563
Spain,5712,2671,1116,9968,3908,5003,1612,363.3474821,6057,19835,5655,9840,7323,6137,3106,1987,1012,2344,9307,2965,2600,2264,2487,7958,3284,5291,11078,1819,10857,7628,8483,1325,1457,6673,3842,8715,1798,12019,17555,4813,10640,1278,10236,4072,2314,523,2896,3550,10066,10827,1382,6105,1482,3544,12171,1870,2052,9013,9071,3350,11404,2035,1258,2361,3452,5385,6458,4817,6752,1877,731,1286,8014,8029,4382,10904,7025,4304,7757,8712,7292,11715,1699,2872,3688,9206,5415,5757,2910,2697,1868,822,1663,3186,15521,1981,9486,5267,2113,10734,7314,2765,6969,7051,6323,6509,4046,4479,3623,7440,2708,7227
Oman,11105,4408,5222,13826,6552,1194,4685,6057,284.1861926,13823,422,13613,1967,3556,3008,4392,5633,5471,5687,4868,5104,3873,3756,6256,2773,784,5145,4629,7804,12273,14529,5395,6309,1806,6186,14700,4836,6358,11501,1501,14943,5531,4556,2287,4518,6545,4803,2509,6631,6355,4693,11715,5547,2529,6161,4986,5181,2959,14692,2802,5463,4170,5840,3697,3956,1747,2808,1240,3848,4572,5482,4839,14018,2733,5515,5276,13030,1775,6299,3265,5366,6614,4542,3861,2394,4787,2625,3797,7237,4615,4283,6404,4440,7987,10275,4111,15151,797,4012,5076,13347,4228,5341,4840,2593,12466,2300,2850,2435,13350,3750,6712
New.Zealand,14456,17317,18851,10039,15969,14864,18330,19835,13823,264.3047352,14221,10162,12592,13699,16789,17957,19020,17712,10691,17060,17435,17641,17431,11886,16595,14584,8826,18139,9180,12388,11648,18694,18666,13248,16024,11392,18183,7910,2334,15087,9390,18757,9684,15838,17667,19527,17124,16325,9948,9156,18511,14058,18564,16327,7725,18132,17976,10864,11086,16511,8499,17883,18817,17519,16530,14465,13495,15062,13084,18079,19105,18564,12094,11895,15468,9022,13082,15582,12088,11211,12547,8246,18232,17084,16182,10631,14424,14078,17235,17306,18043,19109,18194,16777,4465,17915,10596,14610,17790,9189,12821,17214,12871,12786,13624,13590,15864,15361,16253,12707,17229,12627
