"","Canada","Lithuania","Switzerland","Argentina","Ghana","Saudi.Arabia","Slovenia","Spain","Oman","New.Zealand","United.Arab.Emirates","Uruguay","India","Kenya","Turkey","Hungary","France","Norway","China","Finland","Sweden","Bulgaria","Romania","South.Africa","Cyprus","Qatar","Malaysia","Austria","Japan","Brazil","Costa.Rica","Luxembourg","Ireland","Pakistan","Nigeria","Ecuador","Czech.Republic","Brunei","Australia","Iran","Chile","Belgium","Thailand","Georgia","Poland","Portugal","Estonia","Lebanon","South.Korea","Taiwan","Italy","USA","Netherlands","Israel","Indonesia","Germany","Denmark","Sri.Lanka","Mexico","Egypt","Singapore","Serbia","United.Kingdom","Greece","Russia","Yemen","Kazakhstan","Kuwait","Tanzania","Slovakia","Algeria","Tunisia","Colombia","Nepal","Cameroon","Vietnam","Venezuela","Iraq","Botswana","Bangladesh","Zimbabwe","Philippines","Croatia","Ukraine","Jordan","Mauritius","Ethiopia","Uganda","Iceland","Latvia","Bosnia.and.Herzegovina","Morocco","Malta","Senegal","Papua.New.Guinea","Albania","Peru","Bahrain","Macedonia","Cambodia","Jamaica","Belarus","Zambia","Malawi","Kyrgyzstan","Trinidad.and.Tobago","Armenia","Sudan","Syria","Cuba","Moldova","Namibia"
"Canada",207,4,23,8,2,2,2,79,1,21,2,1,24,2,14,3,46,10,22,21,24,3,4,6,4,1,7,3,25,18,2,1,5,1,2,1,8,1,115,3,6,28,2,2,2,47,3,2,3,2,56,308,56,2,1,90,7,1,5,10,4,6,121,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",4,0,32,0,0,0,1,11,0,1,0,0,4,0,0,4,9,0,3,2,5,0,1,3,0,0,0,7,4,4,0,0,0,0,0,0,0,6,21,0,1,4,0,0,0,7,1,0,0,0,13,46,9,2,0,30,4,0,0,1,0,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",6,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,5,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ghana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saudi.Arabia",0,0,0,0,1,3,0,0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",6,0,14,2,1,7,0,285,0,6,0,0,6,1,3,3,29,1,3,8,0,0,1,5,1,0,0,2,3,6,0,0,0,2,0,0,5,0,10,2,12,9,0,0,5,31,0,0,0,0,38,43,17,1,0,7,3,0,10,1,0,0,40,5,2,0,0,0,2,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New.Zealand",7,0,5,0,0,1,0,10,0,62,6,2,2,0,17,3,13,6,15,4,2,0,0,3,4,0,3,1,7,14,0,3,7,0,0,0,2,1,89,9,5,2,5,0,7,11,1,0,0,0,18,39,5,1,0,14,2,1,0,6,3,0,41,1,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
