"","Country","WFC"
"1","Canada",1233.01
"2","Lithuania",8.4
"3","Switzerland",1022.15
"4","Argentina",96.1
"5","Ghana",0.22
"6","Saudi.Arabia",99.66
"7","Slovenia",30.21
"8","Spain",992.5
"9","Oman",2.3
"10","New.Zealand",105.48
"11","United.Arab.Emirates",11.41
"12","Uruguay",6.03
"13","India",793.45
"14","Kenya",4.78
"15","Turkey",54.71
"16","Hungary",69.67
"17","France",1788.16
"18","Norway",133.67
"19","China",6250.67
"20","Finland",153.38
"21","Sweden",459.02
"22","Bulgaria",9.84
"23","Romania",21.96
"24","South.Africa",55.33
"25","Cyprus",8.08
"26","Qatar",7.24
"27","Malaysia",8.25
"28","Austria",275.24
"29","Japan",2527.3
"30","Brazil",246.17
"31","Costa.Rica",1.7
"32","Luxembourg",15.28
"33","Ireland",103.32
"34","Pakistan",28.18
"35","Nigeria",1.28
"36","Ecuador",5.65
"37","Czech.Republic",148.97
"38","Brunei",0.13
"39","Australia",834.05
"40","Iran",88.45
"41","Chile",91.8
"42","Belgium",331.08
"43","Thailand",23.25
"44","Georgia",1.75
"45","Poland",206.36
"46","Portugal",104.82
"47","Estonia",19.74
"48","Lebanon",3.59
"49","South.Korea",974.84
"50","Taiwan",324.23
"51","Italy",890.86
"52","USA",14993.83
"53","Netherlands",736.43
"54","Israel",447.29
"55","Indonesia",5.03
"56","Germany",3599.99
"57","Denmark",300.81
"58","Sri.Lanka",0.18
"59","Mexico",79.94
"60","Egypt",8.92
"61","Singapore",393.87
"62","Serbia",10.33
"63","United.Kingdom",3037.65
"64","Greece",62.45
"65","Russia",367.73
"66","Yemen",0.22
"67","Kazakhstan",6.04
"68","Kuwait",1.2
"69","Tanzania",0.78
"70","Slovakia",9.91
"71","Algeria",2.71
"72","Tunisia",2.57
"73","Colombia",17.92
"74","Nepal",2.14
"75","Cameroon",0.49
"76","Vietnam",9.1
"77","Venezuela",2.33
"78","Iraq",0.44
"79","Botswana",0.17
"80","Bangladesh",1.34
"81","Zimbabwe",0.06
"82","Philippines",0.48
"83","Croatia",17.37
"84","Ukraine",24.19
"85","Jordan",0.77
"86","Mauritius",0.17
"87","Ethiopia",1.53
"88","Uganda",0.93
"89","Iceland",21.15
"90","Latvia",2.25
"91","Bosnia.and.Herzegovina",1.19
"92","Morocco",5.8
"93","Malta",1.66
"94","Senegal",0.78
"95","Papua.New.Guinea",0.21
"96","Albania",0.08
"97","Peru",5.41
"98","Bahrain",0.13
"99","Macedonia",2.88
"100","Cambodia",0.26
"101","Jamaica",1.71
"102","Belarus",2.29
"103","Zambia",0.68
"104","Malawi",0.38
"105","Kyrgyzstan",0.19
"106","Trinidad.and.Tobago",0.02
"107","Armenia",6.96
"108","Sudan",0.75
"109","Syria",0.26
"110","Cuba",1.17
"111","Moldova",3.2
"112","Namibia",0.88
