"treatment","damage"
"Control",2
"Control",2
"Control",4
"Control",0
"Control",3
"Control",2
"Control",2
"Control",2
"Control",1
"Control",2
"Control",1
"Control",3
"Control",2
"Control",1
"Control",2
"Control",1
"Control",2
"Control",3
"Control",3
"Control",2
"Control",1
"Control",1
"Control",3
"Control",2
"Strain A",4
"Strain A",2
"Strain A",1
"Strain A",2
"Strain A",5
"Strain A",4
"Strain A",3
"Strain A",3
"Strain A",4
"Strain A",1
"Strain A",2
"Strain A",3
"Strain A",3
"Strain A",3
"Strain A",3
"Strain A",2
"Strain A",2
"Strain A",5
"Strain A",3
"Strain A",4
"Strain A",3
"Strain A",4
"Strain A",2
"Strain A",4
"Strain B",6
"Strain B",4
"Strain B",3
"Strain B",4
"Strain B",6
"Strain B",6
"Strain B",4
"Strain B",6
"Strain B",2
"Strain B",7
"Strain B",4
"Strain B",5
"Strain B",3
"Strain B",5
"Strain B",4
"Strain B",3
"Strain B",3
"Strain B",4
"Strain B",4
"Strain B",5
"Strain B",6
"Strain B",7
"Strain B",5
"Strain B",6
