"environment","length_mm"
"Cool",9.94949373653932
"Cool",10.1150886481904
"Cool",10.0064592350897
"Cool",11.6353521543521
"Cool",9.48477688877161
"Cool",8.9409593716943
"Cool",9.61564010692723
"Cool",9.87620860246238
"Cool",9.75455692234254
"Cool",9.86970874887491
"Cool",10.3157071861505
"Cool",9.02235157770489
"Cool",11.2341919339364
"Cool",9.87125840162595
"Cool",8.93511604030986
"Cool",11.0469412786002
"Cool",10.1017865171254
"Cool",9.87598311840057
"Cool",8.90259610693711
"Cool",10.6031458573311
"Cool",10.820902197493
"Cool",9.42294580336396
"Cool",9.04384341974826
"Cool",9.00827933356854
"Cool",9.36726364087032
"Cool",8.84736233336234
"Warm",12.1530011912959
"Warm",10.4272873741063
"Warm",11.0781963352795
"Warm",10.7719038130559
"Warm",10.2112525032377
"Warm",11.6540305195855
"Warm",11.7313714662824
"Warm",11.5208355624068
"Warm",9.61239386809579
"Warm",9.9448393176077
"Warm",10.4653280745544
"Warm",10.7690647999267
"Warm",10.8313435451765
"Warm",12.4325091486411
"Warm",10.1208847251432
"Warm",9.86870707080181
"Warm",9.89131479752589
"Warm",10.2533909815985
"Warm",10.9965199131698
"Warm",10.8950482208934
"Warm",12.1027070073271
"Warm",11.0759172365222
"Warm",10.4655021405654
"Warm",10.1529105139283
"Warm",11.1308955345416
"Warm",12.0493722702611
"Warm",11.7135608321551
"Warm",10.3554396302167
"Warm",9.98804891209834
"Warm",10.9979891801422
