"Dumont, Beth L. ""Meiotic Consequences of Genetic Divergence Across the Murine Pseudoautosomal Region."" Genetics (2017): genetics-116.",Crosses where strains have PAR that has diverged lead to higher aneuploidy rates.  Suggest that most don't make through filter of apoptosis.
"Emerson, Brent C., Pedro Orom__, and Godfrey M. Hewitt. ""MtDNA phylogeography and recent intra-island diversification among Canary Island Calathus beetles."" Molecular phylogenetics and evolution 13.1 (1999): 149-158.",documents relationships of Calathus that have invaded canary island doesn't include the other Calathus in my dataset frustrating!
"Jablonka, Eva, and Marion J. Lamb. ""Meiotic pairing constraints and the activity of sex chromosomes."" Journal of theoretical Biology 133.1 (1988): 23-36.",oldest example of the hypothesis that MSCI might be an adaptation for pairing
"Misof, Bernhard, et al. ""Phylogenomics resolves the timing and pattern of insect evolution."" Science 346.6210 (2014): 763-767.",contains likely the best dates for most insect divergence time up till now. Leps and Diptera about the same age and beetles about 260 MYA consistent with my inference
"Mather, Kenneth. ""Crossing over."" Biological Reviews 13.3 (1938): 252-292.",this is the first article that I know of that explicitly spells out the necessity of crossing over to insure segregation
"Dumont, Beth L. ""Variation and Evolution of the Meiotic Requirement for Crossing Over in Mammals."" Genetics 205.1 (2017): 155-168.",here we see that some lineages require one crossover per arm while others require one per chromosome.  Not sure how this is affected by the fact that one type of recombination (the one that is sensitive to interference) was assayed
"Borodin, Pavel M., et al. ""Multiple independent evolutionary losses of XY pairing at meiosis in the grey voles."" Chromosome research 20.2 (2012): 259-268.",documents number of transition to achiasmatic meiosis in Microtus
"Borodin, P. M., et al. ""Parallel occurrence of asynaptic sex chromosomes in gray voles (Microtus Schrank, 1798)."" Paleontological Journal 47.9 (2013): 1035-1040.",same as the 2012 paper just improved sampling
"Gladkikh, Olga L., et al. ""Rapid Karyotype Evolution in Lasiopodomys Involved at Least Two Autosome_Sex Chromosome Translocations."" PloS one 11.12 (2016): e0167653.",Paper use chromosome paints based on single chromosome DNA ordered from CCCG - cambridge center for comparative genomics.  Looks like they have lots of species that you can work with them to get single chromosome sequences from. This might be a realistic way to get PAR data long read sequencing on X and Y specific data pools then assemble and map.
"Uematsu, Ayumi, et al. ""Parental origin of normal X chromosomes in Turner syndrome patients with various karyotypes: implications for the mechanism leading to generation of a 45, X karyotype. ""American journal of medical genetics_111.2 (2002): 134-139.","indicates that about 75% of the time the parent contributing the normal X chromosome in an XO offspring is the mother, or reversed that would mean that the father is at fault 75% of the time"
"Hassold, Terry J., and Patricia A. Jacobs. ""Trisomy in man."" Annual review of genetics 18.1 (1984): 69-97.",this paper shows that aneuploidy in autosome is of maternal origin about 90% of the time a real contrast to what we see with the sex chromosomes
"Lanier, Gerald N. ""Cytotaxonomy of Dendroctonus. ""Application of Genetics and Cytology in Insect Systematics and Evolution, Proceedings of the 1980 Annual Meeting of the Entomological Society of America. Forest, Wildlife and Range Experimental Station, University of Idaho, Moscow, 1981.",this paper is the original source for much of the karyotype data for Dendroctonus.  Specifically this was the source of data presented in smith and virkki 1978 and in one case they have included a typo so we have updated the CKD to reflect Lanier's original report.
"McClintock, Barbara. ""Induction of instability at selected loci in maize."" Genetics 38.6 (1953): 579.",McClintock's famous genetics paper. She discusses the ability of a transposition to influence expression of genes in the region of transposition. Especially amazing to remember that this is being done when we are just begiing to understand the structure of DNA and it would indeed be many years before the exact molecular mechanisms underlying this work would come to light.
"Riley, Bruce B., and Bryan T. Phillips. ""Ringing in the new ear: resolution of cell interactions in otic development."" Developmental biology 261.2 (2003): 289-312.",review of otic development particular focus on history and how we got here.  Interesting to note how much work Waddington did in this forgot about his work in this area.  Induction start early hind brain particularly important but so are other tissues in area.  This was figured out in chicks and amphibians in the experiments where tissue is transplanted at different stages and locales to see if its fate has been set yet or if induction has occurred. From the genetic perspective pax genes play a big role in particular pax2 and pax8 these are later downstream genes that mark otic development not the top of a cascade.  
"Soh, YQ Shirleen, et al. ""Sequencing the mouse Y chromosome reveals convergent gene acquisition and amplification on both sex chromosomes."" Cell 159.4 (2014): 800-813.","2% derived from original autosome that became sex chromosome.  3 massively amplified gene families make up most of ""genic"" content. Do have amplified homologs on mouse X but are absent from primate X. Mouse Y contains only 7 ancestral genes in comp human 17."
"Bakshy, Eytan, Solomon Messing, and Lada A. Adamic. ""Exposure to ideologically diverse news and opinion on Facebook."" Science 348.6239 (2015): 1130-1132.",This is one of the famous Facebook articles basically it shows that most news that is shared is either very biased towards sharing among liberals or very biased to sharing among conservatives.  Few news items are shared at high rates among both groups.  Analysis of friend networks suggests that self-identified liberals have 20% conservative friends and conservatives have around 17% liberal friends.   Furthermore shows that even if our friend network is diverse people are less likely to visit links to articles that do not align with their own political affiliation.
"Abascal, Federico, et al. ""Extreme genomic erosion after recurrent demographic bottlenecks in the highly endangered Iberian lynx."" Genome Biology 17.1 (2016): 251.",Many different signatures of maladaptive changes in this genome: 1) increased LINEs insertion that likely disrupts translation observed 51% expected 37% 2) same basic story for SINEs. 3) lowest SNP/MB recorded 
"The genomic basis of adaptation to the deep water 'twilight zone' in Lake Malawi cichlid fishes Christoph Hahn, Martin J. Genner, George F. Turner, Domino A. Joyce bioRxiv 102830; doi: https://doi.org/10.1101/102830",Basic gwas looking for genes associated with selection for deep water habitat.  General idea was that species would partition habitat and thus areas of differentiation might be associated with niche partitioning.
"Cotter, Daniel J., Sarah M. Brotman, and Melissa A. Wilson Sayres. ""Genetic diversity on the human X chromosome does not support a strict pseudoautosomal boundary."" Genetics 203.1 (2016): 485-492.",this paper reports that there is no specific point of recombination reduction instead a gradual decline is seen.  XTR region was also found to have higher diversity than other non-par regions of the X.  Would be interesting to see what kind of recombination spot distribution was required to present this type of result
"Phillips, Patrick C. ""Epistasis 'the essential role of gene interactions in the structure and evolution of genetic systems."" Nature Reviews Genetics 9.11 (2008): 855-867.",has a great line where he says that the subtly different meanings of epistasis have caused relatively few problems because different areas of genetics largely ignore each other.  Big distinction in meaning that is pointed to is the difference in molecular epistasis where one mutation overrides another this was Bateson's meaning and dealt with the absence or perturbation of expected segregation of discrete phenotypes in a dihybrid cross.  In contrast fisher borrowed this as 'epistacy' to describe statistical deviations from the expected additive effect of two loci.  Describes what he thinks are three good categories to divide the usage of epistasis among. 1) functional epistasis this is the molecular one we might think of as something like protein protein interactions within some pathway 2) compositional epistasis is next and here we might put all those uses where we are attempting to describe something akin to what Bateson was describing when he coined the term so here we have a case where one locus overrides another locus in this case we assume that all other loci are fixed across two genotypes being compared. 3) statistical epistasis this is the one I'm usually thinking about here we are looking at the effect of combinations of loci and their effect assuming the population genetic background.  This is the important thing to remember about statistical epistasis because it is so context dependent we might not expect it to be terribly replicable.  This paper also has a great explanation of various ideas about adaptive landscapes (figure 4).
"Aguilar-Rodriguez, J., Payne, J. L., & Wagner, A. (2017). A thousand empirical adaptive landscapes and their navigability. Nature Ecology & Evolution, 1, 45. Retrieved from http://dx.doi.org/10.1038/s41559-016-0045",the data discussed here is binding affinities of different transcription factors to all possible 8 nucleotide sequences.  The key step in the logic is that substitutions to the 8 bp dna sequence can be thought of adaptation to particular transcription factors.42% of landscapes exhibit multiple peaks of differing heights.  In the empirical portion of the paper they also show that sites that have very high expression typically have sequences that are already <=1 mutational step from the highest affinity sequence. 
"Estimating correlated rates of trait evolution with uncertainty Daniel S. Caetano, Luke J. Harmon bioRxiv 102939; doi: https://doi.org/10.1101/102939","Manuscript develops and matures the usage of rate matrix approach to looking at correlated evolution of continuous traits.  Specifically it allows the incorporation of a shift in the tree using simulations they look at shifts in rates, integration, and orientation. Great empirical examples showing shift in size of body regions in anolis and head/mouth morphology in centrarachid fish.  Importantly this approach allows us to incorporate all sorts of uncertainty (measures of tips values, ancestral states (for the regime, etc.) done in an mcmc."
