"habitat","infection"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Infected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
"Forest","Uninfected"
