"week","larva","treatment","mass"
0,1,"Control",11.1027584930035
1,1,"Control",11.9429528919379
2,1,"Control",15.1949825881597
3,1,"Control",16.07766272148
0,2,"Control",12.3917285881197
1,2,"Control",14.6547909482614
2,2,"Control",15.6944183583683
3,2,"Control",19.7866780432134
0,3,"Control",16.2001668764736
1,3,"Control",17.850071561076
2,3,"Control",18.4181542740818
3,3,"Control",18.1416702143805
0,4,"Control",9.55577720688492
1,4,"Control",14.8848445097572
2,4,"Control",15.2659872176639
3,4,"Control",19.9985645548082
0,5,"Control",17.8882717728932
1,5,"Control",18.5645319338388
2,5,"Control",20.2254453914968
3,5,"Control",23.547790590208
0,6,"Control",12.0746591105022
1,6,"Control",15.813282364328
2,6,"Control",17.7005805595283
3,6,"Control",21.8566304157872
0,7,"Control",6.87465783571324
1,7,"Control",9.91674280870524
2,7,"Control",11.9414750933744
3,7,"Control",12.8669881532781
0,8,"Control",11.050504522459
1,8,"Control",10.9573885170269
2,8,"Control",12.6446512025397
3,8,"Control",13.5354977059325
0,9,"Control",9.34190120001129
1,9,"Control",13.4950993039201
2,9,"Control",17.7007468760484
3,9,"Control",18.8866717858701
0,10,"Control",10.3474730152234
1,10,"Control",14.6864587757462
2,10,"Control",15.7097617392744
3,10,"Control",18.4099828962697
0,11,"Control",12.3813455674383
1,11,"Control",12.6573935982993
2,11,"Control",16.2237576553533
3,11,"Control",17.793351795102
0,12,"Control",13.8212299644807
1,12,"Control",19.0915990265708
2,12,"Control",20.8080502577863
3,12,"Control",22.7055481266619
0,13,"Control",13.8668812485727
1,13,"Control",17.2566748863737
2,13,"Control",15.69258874464
3,13,"Control",19.2567088426283
0,14,"Control",15.4733444194863
1,14,"Control",18.8517442791398
2,14,"Control",18.268485824334
3,14,"Control",22.3710877712331
0,15,"Control",8.04017689268067
1,15,"Control",9.66632919236705
2,15,"Control",13.7712474360525
3,15,"Control",13.9699910478232
0,16,"Control",12.6432607070769
1,16,"Control",17.1351210684246
2,16,"Control",18.6488286902504
3,16,"Control",17.888111650464
0,17,"Control",14.6244672950396
1,17,"Control",16.517124664815
2,17,"Control",19.8518656313957
3,17,"Control",21.243127840895
0,18,"Control",8.62255260428202
1,18,"Control",9.12363374892793
2,18,"Control",11.5431023163457
3,18,"Control",9.99583887911836
0,19,"Enriched",17.3543218749745
1,19,"Enriched",18.1725831865023
2,19,"Enriched",20.4191294616069
3,19,"Enriched",21.5085420822374
0,20,"Enriched",11.6482770133118
1,20,"Enriched",16.0499992760724
2,20,"Enriched",19.8660036100905
3,20,"Enriched",21.8675264625933
0,21,"Enriched",15.2044658974821
1,21,"Enriched",16.4302501687611
2,21,"Enriched",20.6201108247386
3,21,"Enriched",24.1613871802867
0,22,"Enriched",13.8634641453247
1,22,"Enriched",16.0885044903431
2,22,"Enriched",16.2692840190593
3,22,"Enriched",21.0151246684318
0,23,"Enriched",15.0757457756172
1,23,"Enriched",18.2678884706526
2,23,"Enriched",21.0563037818879
3,23,"Enriched",22.6772464636294
0,24,"Enriched",11.8719253384794
1,24,"Enriched",12.1127301249551
2,24,"Enriched",15.9661320098063
3,24,"Enriched",19.4720592619443
0,25,"Enriched",11.4388035486408
1,25,"Enriched",16.8752816190688
2,25,"Enriched",19.2949001686466
3,25,"Enriched",22.8774025049785
0,26,"Enriched",11.3700916642583
1,26,"Enriched",14.6314067898819
2,26,"Enriched",16.3377600010744
3,26,"Enriched",22.1944939401669
0,27,"Enriched",13.3948518911984
1,27,"Enriched",14.3974049221532
2,27,"Enriched",19.4434607189321
3,27,"Enriched",20.27828050791
0,28,"Enriched",9.63683106250694
1,28,"Enriched",15.4165438056063
2,28,"Enriched",18.3780079775987
3,28,"Enriched",20.9482929361184
0,29,"Enriched",15.116266244815
1,29,"Enriched",18.5471867696996
2,29,"Enriched",22.4320197150372
3,29,"Enriched",27.1922612615435
0,30,"Enriched",15.9167159660148
1,30,"Enriched",19.3886739935778
2,30,"Enriched",23.8597722510271
3,30,"Enriched",23.9839371345292
0,31,"Enriched",16.2096573538731
1,31,"Enriched",17.5090434025473
2,31,"Enriched",21.9737598613511
3,31,"Enriched",21.9855630316256
0,32,"Enriched",15.2790868988616
1,32,"Enriched",16.7614015172601
2,32,"Enriched",20.4481580743815
3,32,"Enriched",23.0380659337615
0,33,"Enriched",12.1563923517106
1,33,"Enriched",14.5025274680735
2,33,"Enriched",16.2702836181391
3,33,"Enriched",19.178228297373
0,34,"Enriched",15.9974548508443
1,34,"Enriched",19.872376727082
2,34,"Enriched",22.9336994881439
3,34,"Enriched",26.8093705457995
0,35,"Enriched",13.0494101098115
1,35,"Enriched",13.987308727459
2,35,"Enriched",18.7739794100099
3,35,"Enriched",19.6991204984841
0,36,"Enriched",11.5768862516235
1,36,"Enriched",12.2210489588535
2,36,"Enriched",17.2804259474813
3,36,"Enriched",17.2640241628186
