"group","survived"
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Evolved",0
"Evolved",0
"Evolved",0
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",1
"Evolved",0
"Evolved",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",0
"Ancestral",1
"Ancestral",1
"Ancestral",0
"Ancestral",0
