"cross","divergence","viable"
1,5.03366027772427,0
2,4.56829151697457,0
3,6.65665970183909,0
4,5.46810280717909,0
5,7.20037802867591,0
6,7.22377207875252,0
7,1.8059742487967,1
8,1.25439415313303,0
9,1.61036937125027,1
10,5.83856480382383,0
11,1.36999566480517,0
12,1.49142516218126,1
13,7.2099025901407,1
14,1.29805682227015,1
15,6.33483942970634,0
16,1.9292976334691,0
17,0.142602929845452,1
18,7.41193163581192,0
19,2.73476585745811,1
20,2.66457866132259,0
21,1.2786125652492,1
22,2.78327105008066,1
23,0.103201849386096,1
24,5.60598350688815,1
25,4.63129627518356,0
26,5.60436827130616,1
27,7.69750539213419,1
28,4.38966502435505,1
29,3.2712225522846,1
30,2.78028013929725,1
31,2.82951445877552,0
32,2.74837008863688,1
33,7.71841496787965,0
34,6.75648735463619,1
35,3.78428835049272,1
36,3.7444544583559,0
37,7.97716242074966,0
38,4.80403936468065,1
39,4.42195946723223,1
40,6.62137906812131,0
41,5.27683971635997,0
42,4.35913857631385,1
43,3.90472764149308,0
44,3.53106126189232,1
45,0.953051783144474,1
46,3.42520313337445,1
47,2.77294938452542,0
48,5.87579352967441,0
49,7.4762852974236,0
50,4.2574861869216,0
51,7.54638711735606,0
52,7.16672660410404,0
53,4.78803434036672,0
54,2.10725848376751,0
55,4.07654027827084,0
56,0.117532975971699,1
57,4.38063709810376,1
58,4.49280313402414,1
59,3.17861759848893,1
60,1.02354076318443,1
61,4.69566249661148,1
62,6.45276838727295,0
63,1.83176111802459,1
64,3.53866584785283,0
65,1.38406887836754,0
66,5.00847939774394,1
67,6.42276836559176,0
68,4.07802784070373,0
69,2.12428896687925,1
70,4.4607458692044,0
71,3.87621731124818,0
72,1.44142920710146,1
73,6.95287299156189,0
74,1.7606605142355,1
75,3.31795651651919,0
76,1.5122330468148,1
77,1.49171150103211,1
78,6.95196209847927,1
79,5.50321706943214,1
80,5.97842582687736,1
81,3.77492658607662,1
82,7.91195132769644,0
83,7.37989709340036,0
84,3.32974201999605,0
85,7.61115331202745,0
86,1.46901998668909,1
87,7.1910779569298,0
88,4.87498763948679,1
89,4.51357836462557,0
90,7.54330813698471,0
91,3.41619195602834,1
92,3.47607509233057,0
93,1.62118207849562,1
94,7.7765891328454,0
95,7.43102913722396,0
96,7.5644844956696,0
97,1.13637755811214,0
98,6.02637708559632,0
99,4.27688826061785,0
100,3.81202621944249,1
101,7.01163048483431,0
102,3.33199391514063,1
103,0.824366385117173,1
104,4.22822721675038,1
105,7.70283277332783,1
106,5.91262296959758,1
107,5.38610639795661,1
108,1.17188815400004,1
109,0.785220041871071,0
110,0.678981760516763,1
111,2.00325546599925,1
112,7.12611768580973,0
113,5.82369525358081,0
114,5.60681779310107,0
115,6.70587185584009,0
116,3.6305650472641,0
117,5.28634191118181,0
118,0.678784111514688,1
119,2.20254685916007,1
120,4.17465361207724,0
121,7.64273252896965,0
122,2.66689045354724,1
123,5.78341463021934,1
124,0.0209708008915186,1
125,2.3157692309469,1
126,0.348309164866805,1
127,7.68054293841124,0
128,4.80128311924636,0
129,3.87557574920356,1
130,6.57023692689836,0
131,4.8066339828074,1
132,3.06869294308126,0
133,1.37336363829672,1
134,1.90465551242232,0
135,4.4708752501756,1
136,5.49497273005545,0
137,2.42993883602321,1
138,6.2604018189013,0
139,5.36975944600999,0
140,5.09960014373064,0
141,3.24434702284634,1
142,4.89768275618553,1
143,4.78115830570459,1
144,6.55488329008222,0
145,5.53633079119027,0
146,2.13198282569647,1
147,1.16121941432357,1
148,3.52686999924481,0
149,0.926288699731231,1
150,7.23489753901958,0
151,7.8545906059444,0
152,2.66754519194365,1
153,2.11941268481314,0
154,6.70979464426637,1
155,5.85401803255081,1
156,4.72645163349807,1
157,4.32278862223029,0
158,2.07353834994137,1
159,3.4308759290725,1
160,4.66108331270516,1
