"culture","lysis_minutes"
1,43.0935112245607
2,87.1756199933112
3,61.9615176128064
4,80.9681422942562
5,47.6940973120447
6,10.3941100872528
7,63.143917185555
8,78.6925479415899
9,89.8989489874839
10,85.5099648870875
11,27.6167530482034
12,73.8532978286799
13,20.8952467904674
14,18.1407663249032
15,53.7572763293317
16,69.3117768290622
17,43.224444777213
18,27.8107414001823
19,47.5992960357757
20,39.5607143321701
21,94.4788157553396
22,63.1468293528699
23,31.4170858119601
24,34.2171283712831
25,96.5849391365504
26,44.1102321274099
27,54.5275526697095
28,137.86084348228
29,108.164113158853
30,82.8405298194411
31,166.372102461968
32,108.571930281242
33,30.3761479461842
34,41.2018847132555
35,47.1821385304361
36,47.9534100310341
