"size","before","after","fight"
110.5,72.7,62.9,"win"
126.7,49.4,58.4,"win"
106.3,85.7,47.8,"win"
154.9,57.4,62.1,"loss"
129.6,81.8,73.9,"win"
106.6,80.1,81.1,"loss"
132.7,63,45.5,"loss"
137.8,68.8,59,"win"
134.5,49.7,75.9,"win"
116.9,65.9,48.6,"win"
153.2,74.5,31.7,"win"
130.8,63.2,50.8,"win"
110.6,56.6,50.4,"loss"
78.7,54.1,62.6,"loss"
145.5,61.6,57.2,"loss"
122.1,74.8,64.8,"loss"
122.7,56.2,56.9,"loss"
141.9,60.5,66.5,"win"
139.4,46.5,57.6,"win"
134.9,67.9,76.3,"win"
141.4,77.7,53.2,"loss"
138.6,80,65.5,"loss"
124.5,71.8,51.4,"loss"
83.2,39.6,64.5,"loss"
135.4,67.8,61.4,"win"
121.9,67.5,41.8,"win"
119.9,57.8,60.3,"win"
93.6,64,76.2,"loss"
113.4,51.6,70.2,"win"
131.4,70.2,63.7,"win"
150.2,58.1,47.7,"win"
120.9,43.2,76,"win"
130.8,57.6,63,"win"
121.9,78.4,56.6,"loss"
95.5,58,81.7,"loss"
114.7,70.8,52.8,"loss"
115.1,73.4,65.6,"loss"
121.8,62.1,77.4,"loss"
145,57.8,69.2,"loss"
138.3,55.6,58.3,"loss"
119.7,70.9,57,"loss"
117.9,49.2,66.3,"loss"
136.9,65,68.2,"loss"
134.1,58.5,62.2,"win"
109.2,34.8,77.8,"loss"
108.9,45.1,61.2,"win"
130.3,73,53.6,"loss"
138.4,59.7,68.4,"win"
120.8,71.6,35.6,"win"
140.6,84.6,66.7,"loss"
131,79.7,68,"loss"
110.8,70.1,59.3,"win"
129.8,66.6,48.6,"win"
100.4,59.7,57.3,"loss"
151.7,80.9,80.6,"loss"
162.6,69.2,53.1,"loss"
115.7,47.9,34,"win"
102.1,60.1,71.7,"loss"
134.4,39,56,"win"
120.3,59.7,55.9,"win"
171,30.9,47.4,"loss"
122.2,77.8,61.7,"loss"
136.8,54.4,70.4,"win"
123.6,56.8,55,"loss"
108.1,60,54.7,"win"
126.8,69.3,75.2,"loss"
86.9,70.1,59,"loss"
152.3,68.8,60.1,"loss"
126.1,55.1,54.5,"loss"
166.5,45.6,72.8,"win"
132.5,57.3,50.1,"loss"
108.8,65.3,72.2,"win"
135.2,52.1,71.7,"loss"
104.3,61.2,56.4,"loss"
97.9,48,72.2,"loss"
128.8,61.9,73.8,"win"
114.1,63.5,68.9,"win"
123,60.2,86.3,"win"
124.5,60,38.5,"win"
111.2,83.2,48,"win"
111.6,71.2,45.5,"loss"
120.3,75.3,64,"win"
146.6,50.9,81,"win"
92.5,64,82.1,"loss"
134.9,75.9,67.9,"win"
129.7,61.3,72.5,"loss"
144.3,36.4,60.3,"loss"
116.9,66.1,67.6,"win"
130.4,39.1,66.5,"win"
128.3,52.3,52.9,"loss"
112.1,77.9,58.5,"win"
147.2,69.4,60.4,"loss"
146.2,75.1,78.7,"win"
137,65.7,49.6,"loss"
154.7,60.7,36.6,"loss"
134.2,50.9,71.2,"win"
97.5,81.1,52.2,"loss"
111.5,62.5,56.8,"win"
98.5,53.4,72.9,"loss"
113.5,72.4,52.8,"loss"
110.6,74.9,57.9,"win"
123.8,84.7,80,"win"
104.8,54.8,68.3,"loss"
126.2,57.3,68.5,"win"
109.9,57,60.4,"win"
158.3,57.5,48.4,"win"
137.3,57.6,44,"win"
141.2,58.5,59.3,"win"
130.7,79.3,86,"loss"
156.6,53.6,64.7,"win"
110.3,57.3,64,"win"
113.8,69.8,66,"win"
151.6,75.5,57.4,"win"
110,52.7,45.2,"win"
118.9,55.9,94.1,"win"
115.1,68.3,56.9,"loss"
116.6,74.2,58.4,"win"
117.4,59,40.5,"loss"
132.9,44.8,59,"loss"
119.5,82.5,59,"loss"
112.9,79.2,58.9,"win"
149.9,53.5,40.6,"loss"
118.7,61.2,83.4,"win"
119.4,40.9,83.2,"win"
121,68.8,70.3,"loss"
137.3,81.3,48.8,"loss"
121.5,42.4,70.6,"win"
122.2,52.6,59,"loss"
109.4,54.3,58.2,"win"
116.5,53.8,78.4,"loss"
124.2,37.6,47.3,"loss"
111.2,68,55.9,"loss"
133.6,43.6,53.2,"loss"
92.6,61.7,62.2,"loss"
129.1,69.1,43.1,"win"
92.3,59.6,53.6,"loss"
117,72.7,70.6,"win"
112.4,61.7,67.6,"loss"
110,54.2,50.3,"win"
121.9,69.8,68.7,"win"
84.7,56.8,32.8,"loss"
146.5,83.3,57.9,"loss"
89.7,61.8,70.6,"loss"
113.7,72.2,54.1,"win"
100.7,64.5,61.6,"loss"
108,25.9,42.9,"loss"
164.7,45.6,72.2,"loss"
123.3,56.9,39.8,"win"
97.3,64.8,58.1,"loss"
90.2,33.9,58.9,"loss"
132,73.5,62.7,"loss"
122.6,54.7,52.1,"loss"
116.6,53,84,"loss"
104.4,43.3,44.8,"loss"
93.3,44.6,65,"loss"
101.5,62.7,26.7,"loss"
143,68.1,62,"loss"
110.6,36.8,68.1,"win"
95.3,49.9,49,"loss"
160.4,68.4,70.5,"win"
131.5,56.6,66,"win"
118.2,88,73.7,"loss"
144.2,76.9,51.9,"win"
140.7,69.1,50.4,"loss"
110.6,62.1,40.7,"win"
167.1,65.4,58.1,"loss"
117.9,53.5,45.9,"win"
94.5,69.5,70.3,"loss"
120.1,79.8,62.9,"loss"
127.2,75,88.3,"loss"
169.2,52.2,48.1,"win"
125.1,42.6,76.2,"win"
132.1,60.7,55.7,"loss"
121.5,67.3,44.5,"loss"
116.3,78.2,68.9,"loss"
122.3,46.2,44.8,"win"
138.8,66.4,49.3,"loss"
164.5,64.8,53.2,"win"
143.5,76.3,64.5,"loss"
147.2,61.7,50,"win"
98.4,57.7,74.9,"loss"
142.7,48.2,47.6,"loss"
127.4,55.8,64.6,"win"
93.7,57.7,63.7,"loss"
133.4,90.2,49.2,"win"
119.8,91.4,56.9,"win"
152.3,60,54.1,"loss"
107.7,49.5,73.5,"win"
114.4,38.3,80.7,"loss"
104.5,68.2,49.5,"loss"
119.5,48.9,73.2,"win"
131,89.4,61.1,"win"
108.4,51.4,38.4,"loss"
139.6,63.3,52.9,"loss"
98.8,107.7,67.5,"loss"
102,48.7,63.7,"loss"
151.8,65.7,32.7,"win"
102.7,48.7,69,"loss"
131.2,66.2,69.9,"loss"
115.4,51.5,58.3,"loss"
