"seedling","days","event"
1,48.0300462433041,1
2,77.7376460412052,0
3,12.8673076185368,1
4,43.8299575634301,0
5,38.0694387066695,1
6,92.5667351006996,0
7,24.8221708461642,1
8,38.5661255288869,0
9,34.8153814670464,1
10,36.3567788642831,0
11,97.1061341674067,0
12,12.1328042199214,1
13,65.4963578798546,1
14,89.455435423879,0
15,13.6326759950154,1
16,42.236786170397,0
17,23.5259666676737,1
18,26.5373914864742,1
19,40.2802583367614,1
20,27.1081109272523,1
21,36.7122333066072,0
22,90.3567381408458,1
23,13.0376220008151,1
24,32.0514241078248,1
25,59.210888314728,1
26,5.18108653422031,1
27,55.5092451174278,0
28,32.8807524250199,1
29,3.89974326269418,1
30,15.3700034392791,1
31,35.9269246821188,1
32,15.589909033022,1
33,18.8215263446586,1
34,61.7585827084258,0
35,59.2777015082538,0
36,39.6594470860899,1
37,56.9717566471081,0
38,0.126060681580049,1
39,95.2990732202306,0
40,4.82240821131402,1
41,26.4135644408978,1
42,52.8411215767642,1
43,36.9395046995487,0
44,40.8957527616627,1
45,75.1399461785331,0
46,4.44625456221663,1
47,86.5457163413521,0
48,70.8985308860429,0
49,15.8649438080666,1
50,8.53206895084845,1
51,44.439720925875,0
52,18.267349133061,1
53,18.7442623785868,1
54,81.0423260507994,1
55,55.9662320883945,0
56,50.9882412513252,0
57,2.71995665712489,1
58,24.9027462883128,1
59,63.5643482464366,0
60,36.1270578531548,0
61,35.0557900447812,1
62,13.0585545880927,1
63,35.8344437037077,1
64,34.7964491488205,1
65,18.8002421572391,1
66,4.10437726208733,1
67,55.7603411062155,0
68,31.8271124269813,1
69,47.7274151321035,0
70,30.0382529233316,1
71,6.78783300468739,1
72,4.37659947351347,1
73,18.6343204695731,1
74,43.9269622741267,0
75,52.3723008763045,0
76,74.7677666321397,0
77,15.0195363805526,1
78,33.1459983458949,1
79,47.7918669454595,1
80,55.7496982021257,0
81,8.45731551655465,1
82,38.5504680532871,1
83,7.88805982566622,1
84,6.57420045822855,1
85,36.9698040239099,1
86,20.5290873483237,1
87,74.2996379255783,0
88,2.78556889805813,1
89,9.08193599086997,1
90,39.4741897075437,0
91,15.2813323463003,1
92,4.53119355046915,1
93,35.7874733033694,1
94,50.5736190907191,0
95,0.105824386496346,1
96,35.3790173151841,1
97,22.5156575907022,1
98,84.5877070073038,0
99,31.8552486908933,1
100,23.0797004575531,1
101,61.6345057394585,1
102,3.86925476666048,1
103,79.5340240094811,0
104,53.2639204442967,0
105,45.6630710300771,1
106,43.8199218649672,1
107,47.3723773359341,1
108,35.9946520119492,1
109,89.261084322352,0
110,58.0481931854295,1
111,48.8085750385653,0
112,36.712330239825,0
113,44.9067773437127,0
114,3.9830127945483,1
115,48.3161269000266,0
116,3.70992045387329,1
117,33.241296833795,1
118,52.2405619139317,0
119,9.10336560466223,1
120,19.4733626105719,1
