species,responded
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,1
Mouse,1
Mouse,0
Mouse,0
Mouse,0
Mouse,1
Mouse,1
Mouse,1
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,0
Mouse,1
Mouse,0
Mouse,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,0
Rat,0
Rat,1
Rat,1
Rat,1
Rat,1
Rat,0
Rat,1
Rat,0
Rat,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,1
Rat,0
Rat,1
Rat,0
Rat,1
Rat,1
Rat,0
Rat,1
Rat,0
Rat,1
Rat,1
Rat,1
Rat,1
Rat,0
Rat,1
Rat,0
Rat,0
Rat,1
Rat,0
