fertilizer,sunlight,height
A,Low,10.85229327938062
A,Low,6.789180511968071
A,Low,9.144640803752392
A,Low,12.485739099207475
A,Low,8.529566087799846
A,Low,11.0024979791348
A,Low,12.025478107912742
A,Low,10.557481712191999
A,Low,7.258103059810784
A,Low,9.335049449297172
A,Low,13.918822684776572
A,Low,5.949908474005058
A,Low,9.448427972267648
A,Low,8.895783857023785
A,Low,10.241494726194277
A,High,12.49643123437446
A,High,14.217381936044106
A,High,10.459535215981683
A,High,12.62468265995364
A,High,11.999480289730347
A,High,11.9486945957436
A,High,9.872152136947054
A,High,9.005357062448198
A,High,8.799913774758606
A,High,9.487125581201754
A,High,11.643373151732453
A,High,12.52189878625666
A,High,11.64693769571379
A,High,9.902089807608519
A,High,14.61194021986495
B,Low,14.53773124726308
B,Low,10.791999774499653
B,Low,9.853137188028668
B,Low,11.760429908315938
B,Low,14.034597290108707
B,Low,12.165529954508234
B,Low,12.613097409820089
B,Low,11.075839755448749
B,Low,12.412541790404461
B,Low,14.589088902912277
B,Low,11.020662437044578
B,Low,11.786615465015744
B,Low,12.007632953099254
B,Low,12.067450711542074
B,Low,8.676222247857545
B,High,8.74626268825221
B,High,10.460689858156321
B,High,12.835884590803337
B,High,13.607712332006422
B,High,11.438650880452752
B,High,15.254514965734614
B,High,12.213648051347626
B,High,12.54063199646925
B,High,12.112072258894676
B,High,12.76805358549333
B,High,13.908948148087207
B,High,13.831306875824662
B,High,10.70315411878082
B,High,15.547327552957055
B,High,10.309947085146165
