species,food_intake
Mouse,8
Mouse,6
Mouse,2
Mouse,3
Mouse,4
Mouse,4
Mouse,6
Mouse,5
Mouse,2
Mouse,4
Mouse,4
Mouse,4
Mouse,11
Mouse,3
Mouse,4
Mouse,4
Mouse,1
Mouse,7
Mouse,3
Mouse,2
Mouse,4
Mouse,8
Mouse,3
Mouse,6
Mouse,4
Mouse,5
Mouse,1
Mouse,4
Mouse,5
Mouse,6
Mouse,0
Mouse,5
Mouse,4
Mouse,5
Mouse,3
Mouse,8
Mouse,1
Mouse,5
Mouse,6
Mouse,2
Rat,8
Rat,4
Rat,8
Rat,11
Rat,10
Rat,6
Rat,9
Rat,5
Rat,5
Rat,4
Rat,4
Rat,7
Rat,4
Rat,6
Rat,7
Rat,5
Rat,8
Rat,5
Rat,10
Rat,5
Rat,3
Rat,7
Rat,10
Rat,2
Rat,5
Rat,7
Rat,10
Rat,4
Rat,4
Rat,2
Rat,3
Rat,8
Rat,3
Rat,8
Rat,7
Rat,6
Rat,6
Rat,6
Rat,3
Rat,4
