"lake","parasites"
"Clear",7
"Clear",4
"Clear",0
"Clear",6
"Clear",8
"Clear",5
"Clear",3
"Clear",0
"Clear",20
"Clear",7
"Clear",2
"Clear",2
"Clear",3
"Clear",3
"Clear",3
"Clear",2
"Clear",2
"Clear",1
"Clear",11
"Clear",3
"Clear",3
"Clear",1
"Clear",9
"Clear",4
"Clear",8
"Clear",9
"Clear",21
"Clear",3
"Clear",3
"Clear",9
"Clear",1
"Clear",6
"Reedy",6
"Reedy",4
"Reedy",6
"Reedy",3
"Reedy",12
"Reedy",10
"Reedy",15
"Reedy",5
"Reedy",0
"Reedy",14
"Reedy",21
"Reedy",1
"Reedy",8
"Reedy",19
"Reedy",0
"Reedy",9
"Reedy",9
"Reedy",13
"Reedy",16
"Reedy",14
"Reedy",20
"Reedy",1
"Reedy",0
"Reedy",3
"Reedy",16
"Reedy",4
"Reedy",1
"Reedy",4
"Reedy",3
"Reedy",14
"Reedy",8
"Reedy",9
