drug,response
DrugA,8.268
DrugA,11.937
DrugA,6.634
DrugA,9.33
DrugA,10.326
DrugA,11.172
DrugA,11.422
DrugA,11.587
DrugA,9.303
DrugA,9.075
DrugA,11.716
DrugA,9.617
DrugA,7.449
DrugA,7.733
DrugA,8.161
DrugA,10.994
DrugA,10.285
DrugA,11.381
DrugA,9.145
DrugA,10.317
DrugB,12.251
DrugB,10.381
DrugB,11.914
DrugB,9.676
DrugB,10.274
DrugB,10.237
DrugB,8.608
DrugB,11.974
DrugB,10.061
DrugB,11.025
DrugB,11.961
DrugB,11.893
DrugB,12.331
DrugB,10.803
DrugB,10.153
DrugB,10.841
DrugB,7.625
DrugB,8.106
DrugB,8.355
DrugB,9.006
DrugB,11.8
DrugB,9.189
DrugC,11.244
DrugC,14.598
DrugC,11.287
DrugC,13.475
DrugC,10.133
DrugC,11.589
DrugC,10.1
DrugC,11.322
DrugC,13.681
DrugC,8.545
DrugC,12.869
DrugC,12.475
DrugC,10.812
DrugC,9.108
DrugC,12.144
DrugC,10.941
DrugC,12.465
DrugC,12.044
DrugC,15.204
DrugC,11.521
DrugC,9.953
