fecundity,mass_g,age_years,treatment
47.96,43.76,1.82,Ctrl
58.51,53.44,2.16,Drug
33.93,43.19,3.24,Ctrl
36.43,55.32,4.61,Ctrl
58.08,58.68,1.78,Ctrl
58.8,52.93,3.25,Drug
37.74,47.71,4.82,Ctrl
46.26,53.63,1.35,Drug
51.95,47.53,1.72,Drug
61.05,57.48,2.58,Drug
52.22,35.35,2.48,Drug
46.4,47.32,3.81,Ctrl
34.7,34.07,3.24,Ctrl
36.89,38.04,1.23,Ctrl
57.39,60.91,3.52,Drug
54.89,57.16,2.42,Drug
41.34,44.24,4.27,Drug
50.18,37.98,2.37,Ctrl
41.86,26.28,2.36,Ctrl
48.82,45.65,3.54,Ctrl
52.5,69.36,3.76,Ctrl
52.22,53.48,3.45,Ctrl
53.93,45.52,1.31,Drug
50.2,53.72,3.54,Ctrl
51.4,37.51,1.97,Drug
47.87,47.62,3.24,Ctrl
52.29,50.8,1.58,Ctrl
53.64,49.31,3.45,Drug
57.87,56.33,2.19,Drug
40.68,52.76,1.72,Ctrl
49.17,55.35,3.71,Ctrl
40.02,44.49,3.24,Ctrl
50.05,57.18,2.39,Drug
60.89,63.03,4.45,Ctrl
55.92,42.24,2.56,Drug
48.9,42.9,3.03,Ctrl
58.77,60.69,3.27,Drug
52.98,48.47,2.38,Ctrl
57.63,61.23,3.47,Drug
50.93,46.46,2.47,Drug
48.41,61.64,2.59,Ctrl
47.38,51.05,4.36,Ctrl
54.19,52.07,1.96,Drug
50.29,62.52,0.59,Ctrl
42.47,47.11,4.61,Ctrl
38.42,42.47,5.55,Ctrl
53.72,46.41,2.59,Ctrl
55.37,53.62,1.06,Ctrl
39.31,37.47,2.69,Ctrl
51.05,55.1,2.71,Ctrl
44.26,45.69,2.81,Ctrl
52.23,59.18,1.89,Ctrl
28.8,30.85,3.58,Ctrl
46.24,43.71,3.52,Drug
36.37,36.51,1.51,Ctrl
35.34,43.39,3.7,Ctrl
47.68,51.98,5.05,Ctrl
52.29,48.57,3.17,Drug
36.66,47.97,2.66,Ctrl
45.19,48.73,2.86,Ctrl
51.62,51.63,3.62,Ctrl
48.93,41.93,1.27,Ctrl
54.72,55.65,3.16,Ctrl
50.24,55.3,2.61,Ctrl
46.81,53.08,4.85,Drug
48.86,54.45,2.83,Drug
47.54,52.37,4.67,Ctrl
64.39,66.28,1.9,Drug
56.71,49.3,3.59,Drug
50.04,47.54,3.32,Ctrl
43.16,43.97,2.13,Ctrl
35.01,41.74,3.18,Ctrl
42.38,40.04,4.21,Drug
43.61,42.89,2.68,Ctrl
52.08,49.43,1.31,Drug
45.14,52.67,2.98,Ctrl
53.99,50.41,2.1,Drug
45.62,43.88,2.66,Drug
47.68,57.2,2.92,Ctrl
53.55,55.92,1.29,Ctrl
50.56,48.72,1.38,Drug
43.91,44.78,3.48,Ctrl
51.03,54.39,2.48,Ctrl
49.68,51.5,0.44,Drug
36.1,38.41,3.78,Ctrl
52.94,49.46,3.27,Ctrl
42.7,52.1,2.29,Ctrl
33.08,42.8,1.68,Ctrl
42.0,51.52,3.84,Drug
44.14,38.36,3.35,Drug
50.11,60.69,5.38,Ctrl
51.3,59.98,3.42,Ctrl
55.79,47.98,3.39,Drug
34.98,52.91,2.83,Ctrl
35.83,30.72,3.82,Ctrl
47.91,40.75,3.63,Ctrl
37.85,47.65,4.25,Ctrl
44.98,41.42,2.48,Drug
46.59,55.72,2.56,Ctrl
52.09,65.98,2.52,Ctrl
