survival,mass_g,treatment
1,47.72,0
1,59.99,1
1,62.86,1
1,47.65,1
1,63.34,0
1,50.25,1
1,62.28,1
0,49.35,1
1,50.92,1
1,52.56,0
1,72.25,0
0,55.96,1
1,45.05,1
1,56.78,0
0,47.47,0
1,46.57,1
0,56.36,1
1,50.22,0
1,51.95,1
1,50.1,1
1,52.36,0
0,52.97,0
1,36.44,1
1,54.67,0
0,43.13,0
0,39.9,0
1,49.59,1
1,50.59,0
1,45.15,0
1,55.82,0
1,40.6,1
1,47.15,1
0,45.91,0
0,49.67,0
0,51.95,0
0,42.94,1
1,55.07,1
0,50.44,0
0,36.76,0
1,36.29,1
1,49.91,1
1,48.45,0
0,49.28,0
1,49.8,1
1,51.58,1
1,56.63,1
1,42.22,0
1,41.8,0
0,42.35,1
0,52.02,1
1,58.71,1
1,46.98,0
1,32.49,1
0,38.07,0
0,44.17,0
1,46.1,1
1,47.14,1
1,50.27,1
1,47.82,1
0,57.35,0
1,45.27,1
1,43.96,0
1,53.35,0
1,39.25,1
0,52.73,1
0,50.72,1
1,48.97,0
1,61.12,1
0,45.64,0
1,64.42,1
0,48.42,1
1,41.06,1
1,50.49,0
0,42.47,0
1,44.74,0
1,52.78,1
1,53.89,1
1,45.64,0
1,56.91,1
1,58.1,1
0,60.05,0
0,53.71,0
1,59.54,1
1,36.83,1
0,47.77,0
0,43.93,1
1,50.83,1
1,46.0,1
1,48.84,1
1,63.18,1
0,48.81,0
1,52.9,0
0,48.37,0
0,50.53,1
0,50.04,0
1,53.14,0
1,58.16,1
0,61.53,0
0,52.17,0
1,54.13,0
0,41.94,0
1,49.38,0
0,56.58,1
1,56.06,0
1,51.48,0
1,56.2,1
1,53.44,0
1,58.4,1
1,52.03,1
1,47.51,1
0,52.35,0
0,29.49,0
1,52.68,1
1,24.46,0
1,37.94,1
1,53.16,0
0,53.34,0
0,41.86,1
1,45.02,1
1,59.59,1
