beetleID,horns,body
1,0.379,4.106
2,0.409,4.072
3,0.553,4.473
4,0.584,4.221
5,0.338,3.723
6,0.533,4.047
7,0.394,3.878
8,0.473,3.79
9,0.449,3.744
10,0.311,3.85
11,0.579,4.044
12,0.507,3.845
13,0.429,3.929
14,0.541,4.473
15,0.335,3.716
16,0.551,4.189
17,0.531,4.123
18,0.435,4.204
19,0.465,3.936
20,0.401,3.899
21,0.536,3.731
22,0.422,3.71
23,0.528,4.151
24,0.528,3.849
25,0.289,3.785
26,0.559,4.446
27,0.486,3.711
28,0.371,3.65
29,0.381,3.773
30,0.498,3.917
31,0.418,3.985
32,0.341,3.793
33,0.476,4.127
34,0.462,4.082
35,0.363,3.485
36,0.502,4.177
37,0.506,4.206
38,0.504,3.874
39,0.47,3.941
40,0.317,3.728
41,0.404,3.946
42,0.506,4.335
43,0.309,3.97
44,0.509,4.356
45,0.613,4.419
46,0.382,4.076
47,0.46,3.732
48,0.358,3.859
49,0.322,3.624
50,0.421,3.93
51,0.407,3.809
52,0.522,4.284
53,0.431,3.982
54,0.352,3.795
55,0.386,3.902
56,0.467,3.938
57,0.525,4.066
58,0.349,3.744
59,0.465,3.766
60,0.324,3.542
61,0.582,4.202
62,0.305,3.78
63,0.445,3.581
64,0.327,3.592
65,0.512,4.143
66,0.454,3.91
67,0.502,4.287
68,0.386,4.079
69,0.506,4.264
70,0.494,3.963
71,0.474,3.871
72,0.5,4.158
73,0.471,4.115
74,0.477,4.048
75,0.443,3.623
76,0.52,4.179
77,0.479,3.952
78,0.488,4.134
79,0.428,3.99
80,0.464,3.663
81,0.492,3.923
82,0.487,3.858
83,0.467,3.927
84,0.465,3.922
85,0.485,3.856
86,0.4,3.789
87,0.357,3.946
88,0.493,3.92
89,0.388,4.058
90,0.448,4.375
91,0.547,4.105
92,0.544,4.046
93,0.459,4.03
94,0.397,4.286
95,0.463,3.818
96,0.529,4.281
97,0.405,3.734
98,0.237,3.391
99,0.478,4.123
100,0.489,3.945
101,0.379,3.679
102,0.551,3.802
103,0.467,4.07
104,0.518,4.34
105,0.396,3.947
106,0.403,4.139
107,0.402,3.719
