Order,Family,Genus,Species,Binomial,Female2n,Male2n,B chromosomes,Sex chromosome system,Notes-sex.chrom,Notes-diploid.num,Source
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus hottentotus,30,30,,XY,,,Bronner 1995a
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus longiceps,Amblysomus hottentotus longiceps,30,30,,XY,,,Gilbert et al 2008
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus meesteri,Amblysomus hottentotus meesteri,30,30,,XY,,,Gilbert et al 2008
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus pondoliae,Amblysomus hottentotus pondoliae,30,30,,XY,,,Gilbert et al 2008
Afrosoricida,Chrysochloridae,Amblysomus,iris,Amblysomus iris,34,34,,XY,,,Capanna et al. 1989
Afrosoricida,Chrysochloridae,Amblysomus,robustus,Amblysomus robustus,36,36,,XY,,,Gilbert et al 2008
Afrosoricida,Chrysochloridae,Calcochloris,obtusirostris,Calcochloris obtusirostris,28,28,,XY,,,Gilbert et al 2008
Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,Chlorotalpa duthieae,30,30,,XY,,,Bronner 1995a
Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,Chlorotalpa sclateri,30,30,,XY,,,Bronner 1995a
Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,Chrysochloris asiatica,30,30,,XY,,,Robinson et al. 2004
Afrosoricida,Chrysochloridae,Chrysospalax,trevelyani,Chrysospalax trevelyani,30,30,,XY,,,Gilbert et al. 2006
Afrosoricida,Chrysochloridae,Cryptochloris,zyli,Cryptochloris zyli,30,30,,XY,,,Gilbert et al. 2006
Afrosoricida,Chrysochloridae,Eremitalpa,granti,Eremitalpa granti,26,26,,XY,,,Gilbert et al. 2006
Afrosoricida,Chrysochloridae,Neamblysomus,julianae,Neamblysomus julianae,30,30,,XY,,,Gilbert et al 2008
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops telfairi,40,40,,XY,,,Benirschke 1969
Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,Hemicentetes nigriceps,38,38,,XY,,,Benirschke 1969
Afrosoricida,Tenrecidae,Microgale,cowani,Microgale cowani,38,38,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,dobsoni,Microgale dobsoni,30,30,,XY,,,Blackmon 2019
Afrosoricida,Tenrecidae,Microgale,fotsifotsy,Microgale fotsifotsy,32,32,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,longicaudata,Microgale longicaudata,30,30,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,majori,Microgale majori,30,30,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,parvula,Microgale parvula,32,32,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,principula,Microgale principula,30,30,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,soricoides,Microgale soricoides,32,32,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,taiva,Microgale taiva,32,32,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Microgale,thomasi,Microgale thomasi,56,56,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Oryzorictes,hova,Oryzorictes hova,32,32,,XY,,,Gilbert et al. 2007
Afrosoricida,Tenrecidae,Tenrec,eucadatus,Tenrec eucadatus,38,38,,XY,,,Blackmon 2019
Artiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra americana,58,58,,XY,,,Kulemzina et al. 2009
Artiodactyla,Balaenidae,Balena,mysticetus,Balena mysticetus,42,42,,XY,,,Jarelle 1979
Artiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,Balaenoptera acutorostrata,44,44,,XY,,,Arnason 1981a
Artiodactyla,Balaenopteridae,Balaenoptera,borealis,Balaenoptera borealis,44,44,,XY,,,Nash (Unpublished)
Artiodactyla,Balaenopteridae,Balaenoptera,musculus,Balaenoptera musculus,44,44,,XY,,,Arnason and Widegren 1989
Artiodactyla,Balaenopteridae,Balaenoptera,physalus,Balaenoptera physalus,42,42,,XY,,,Arnason 1974a
Artiodactyla,Balaenopteridae,Balaenoptera,physalus,Balaenoptera physalus,44,44,,XY,,,Arnason 1974a
Artiodactyla,Balaenopteridae,Megaptera,novaeangliae,Megaptera novaeangliae,44,44,,XY,,,Arnason 1974a
Artiodactyla,Bovidae,Addax,nasomaculatus,Addax nasomaculatus,58,58,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Aepyceros,melampus,Aepyceros melampus,60,60,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Aepyceros,melampus petersi,Aepyceros melampus petersi,59,59,,XY,,58-60,Rubes et al. 2012
Artiodactyla,Bovidae,Alcephalus,buselaphus jacksoni,Alcephalus buselaphus jacksoni,40,40,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Alcephalus,busephalus,Alcephalus busephalus,40,40,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Ammotragus,lervia,Ammotragus lervia,58,58,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Anoa,depressicornis depressicornis,Anoa depressicornis depressicornis,48,48,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Antidorcas,marsupialis,Antidorcas marsupialis,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Antilope,cervicapra,Antilope cervicapra,32,32,,XY,,30-33,Cerohorska et al. 2012
Artiodactyla,Bovidae,Bison,bison,Bison bison,60,60,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Bison,bonasus,Bison bonasus,60,60,,XY,,,Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Bos,frontalis (gaurus),Bos frontalis (gaurus),58,58,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Bos,frontalis (gayal),Bos frontalis (gayal),58,58,,XY,,,Chi et al. 2005a
Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,60,60,,XY,,,Craphodatsky and Biltueva (Unpublished)
Artiodactyla,Bovidae,Bos,indicus,Bos indicus,60,60,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,60,60,,XY,,,Hayes et al. 1995
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,46,46,,XY,rujuvenation of autosome 14 o sex chromosomes,,Gallagher et al. 1998
Artiodactyla,Bovidae,Bubalus,bubalis,Bubalus bubalis,50,50,,XY,,,Iannuzzi 1994
Artiodactyla,Bovidae,Bubalus,depressicornis,Bubalus depressicornis,48,48,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Budorcas,taxicolor,Budorcas taxicolor,52,52,,XY,,,Rubes et al. 2012
Artiodactyla,Bovidae,Capra,cylindricornis,Capra cylindricornis,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Capra,hircus,Capra hircus,60,60,,XY,,,Biltueva and Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Capra,hircus aegagrus,Capra hircus aegagrus,60,60,,XY,,,Huang et al. 2005
Artiodactyla,Bovidae,Capra,hircus hircus,Capra hircus hircus,60,60,,XY,,,Biltueva and Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Capra,ibex,Capra ibex,60,60,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Capra,pyrenaica hispanica,Capra pyrenaica hispanica,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Capricornis,crispus,Capricornis crispus,50,50,,XY,,,Biltueva et al. (Unpublished)
Artiodactyla,Bovidae,Capricornis,sumatraensis,Capricornis sumatraensis,48,48,,XY,,,Huang et al. 2005
Artiodactyla,Bovidae,Cephalophus,dorsalis,Cephalophus dorsalis,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Cephalophus,monticola,Cephalophus monticola,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus niger,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus rufilatus,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus silvicultor,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Connochaetes,gnou,Connochaetes gnou,58,58,,XY,,,Rubes et al.2012
Artiodactyla,Bovidae,Connochaetes,taurinus,Connochaetes taurinus,58,58,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Connochaetes,taurinus albojubatus,Connochaetes taurinus albojubatus,58,58,,XY,,,Rubes et al. 2012
Artiodactyla,Bovidae,Damaliscus,dorcas phillipsi,Damaliscus dorcas phillipsi,38,38,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Damaliscus,hunteri,Damaliscus hunteri,44,44,,XY,,,Kumamoto et al. 1996
Artiodactyla,Bovidae,Damaliscus,lunatus topi,Damaliscus lunatus topi,36,36,,XY,,,Kumamoto et al. 1996
Artiodactyla,Bovidae,Damaliscus,pygargus phillipsi,Damaliscus pygargus phillipsi,38,38,,XY,,,Kumamoto et al. 1996
Artiodactyla,Bovidae,Gazella,bennettii,Gazella bennettii,50,50,,XY,,49-52,Kumamoto et al. 1995
Artiodactyla,Bovidae,Gazella,cuvieri,Gazella cuvieri,32,33,,complex XY,X1X2Y,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,dorcas,Gazella dorcas,30,31,,complex XY,XY1Y2,,Blackmon 2019
Artiodactyla,Bovidae,Gazella,gazella,Gazella gazella,34,35,,complex XY,XY1Y2,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,granti,Gazella granti,30,31,,complex XY,XY1Y2,,Blackmon 2019
Artiodactyla,Bovidae,Gazella,leptoceros,Gazella leptoceros,32,33,,complex XY,XY1Y2,,Cernohorska et al. 2012
Artiodactyla,Bovidae,Gazella,rufifrons laevipes,Gazella rufifrons laevipes,58,58,,XY,rujuvenation of autosome to sex chromosomes,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,saudiya,Gazella saudiya,50,50,,XY,,46-53,Kumamoto et al. 1995
Artiodactyla,Bovidae,Gazella,spekei,Gazella spekei,32,33,,complex XY,XY1Y2,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,subgutturosa,Gazella subgutturosa,30,31,,complex XY,XY1Y2,,Blackmon 2019
Artiodactyla,Bovidae,Gazella,subgutturosa marica,Gazella subgutturosa marica,31,31,,complex XY,XY1Y2,30-32,Kingswoo and Blank 1996
Artiodactyla,Bovidae,Gazella,subgutturosa subgutturosa,Gazella subgutturosa subgutturosa,30,31,,complex XY,XY1Y2,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Gazella,thomsonii,Gazella thomsonii,58,58,,XY,rujuvenation of autosome to sex chromosomes,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Hemitragus,jemlahicus,Hemitragus jemlahicus,48,48,,XY,,,Rubes et al. 2012
Artiodactyla,Bovidae,Hippotragus,equinus,Hippotragus equinus,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Hippotragus,niger,Hippotragus niger,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Kobus,ellipsiprymnus defassa,Kobus ellipsiprymnus defassa,53,53,,XY,,53-54,Kingswood et al. 1998a
Artiodactyla,Bovidae,Kobus,ellipsiprymnus ellipsiprymnus,Kobus ellipsiprymnus ellipsiprymnus,51,51,,XY,,50-52,Kingswood et al. 1998a
Artiodactyla,Bovidae,Kobus,kob,Kobus kob,50,50,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Kobus,kob thomasi,Kobus kob thomasi,50,50,,XY,,,Kingswood et al. 2000
Artiodactyla,Bovidae,Kobus,leche,Kobus leche,48,48,,XY,,,Kingswood et al. 2000
Artiodactyla,Bovidae,Kobus,megaceros,Kobus megaceros,52,52,,XY,,,Kingswood et al. 2000
Artiodactyla,Bovidae,Madoqua,guentheri,Madoqua guentheri,49,49,,XY,,48-50,Kingswood and Kumamoto 1996
