Family,Subfamily,Tribe,Genus,Species,Submetacentric,Metacentric,Subtelocentric,Telocentric,Subacrocentric,Acrocentric,Dot,Sex,HaploidNum,SCS,Notes,Reference
Agromyzidae,,,Amauromyza,Amauromyza flavifrons,,,,,,,,,3,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Amauromyza,Amauromyza verbasci,,,,,,,,,3,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha angulata,,,,,,,,,3,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha eucaricis,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha ireos,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha pseuderrans,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha scirpi,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha spinata,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Cerodontha,Cerodontha vignae,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Melanagromyza,Melanagromyza obtusa,,,,,,,,,6,XY,five pairs of rod-shaped chromosomes and one pair of dot-like chromosomes.  The X and Y chromosomes represent one of the five pairs of rods,Singh and Gupta 1982.  Contribution to the cytogenetics of an Indian pest. I. Karyotype and Salivary Chromosomes of Melanagromyza obtusa Malloch (Diptera:  Agromyzidae)
Agromyzidae,,,Phytomyza,Phytomyza abdominalis,,,,,,,,,5,,,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
