"aggression","a","b","c"
2.25847736213517,13,14,13
0.398389715704392,14,14,15
3.95365698044412,13,14,13
1.40838017451915,14,15,15
4.48216917803886,14,16,12
-0.255623124744357,16,12,15
2.5106851261384,14,15,15
1.23154413305356,13,15,14
0.275392384047569,15,12,17
1.70784646183558,15,15,14
0.316028216605108,13,14,13
1.88668992846168,15,13,14
0.329797402249647,15,14,15
0.321538025533956,14,13,13
2.00921676643278,15,13,14
2.87436562344264,14,13,15
-0.992302591750343,15,14,14
2.52099876090591,13,14,14
1.23779285123406,13,14,15
2.86467717492185,14,14,14
0.910199255924512,13,12,14
1.59374956247111,14,14,15
0.657434116157384,15,16,15
1.87440201522366,13,16,15
1.10021043013181,12,14,13
2.99137781560534,14,15,15
1.99613084685134,13,16,13
1.33918218421075,15,16,13
1.88747245568297,12,14,14
1.05700940245601,12,14,14
2.21663110920272,13,14,14
3.52051091866208,13,12,13
0.891501210265311,15,11,14
1.61131951032424,15,14,15
1.68805653574233,15,14,15
3.11051662031867,12,14,16
1.56230797380926,14,14,13
2.08483657478493,14,13,14
2.89246390191048,14,14,14
2.63063524346736,15,16,14
3.10374808237404,15,15,14
2.8820074374174,14,14,16
1.25273369811676,13,14,13
1.57827750093399,12,13,14
1.16172198697672,14,14,14
1.24840240407969,14,16,14
1.24287194036771,12,14,14
1.86829711089911,13,14,14
0.421808172772829,14,13,13
1.47076142832495,13,15,15
2.4151354451862,16,14,13
1.25330375304729,14,15,14
1.92322385775011,17,15,14
2.50491940757439,13,15,15
-0.448687728449455,15,14,14
2.08976789298367,15,13,13
1.03770683410554,15,15,14
0.48953958083086,13,14,14
2.68029923934244,13,14,14
2.63440454845194,13,16,14
2.56740164315301,14,13,15
3.08077250448896,16,13,13
1.79185526767625,13,14,14
0.936876657729392,15,14,15
1.57887507626632,16,14,15
3.56113414616424,15,13,13
0.864721375616626,15,13,13
1.53498153137541,15,15,15
2.78268785388844,14,15,13
-0.146645801075256,15,13,12
1.34174427435366,14,14,15
0.95797000975089,15,12,14
2.38826955939468,14,15,12
1.92157586886784,15,15,14
0.222667103903387,15,13,14
1.10785762122779,13,13,15
2.60642903904486,14,16,14
2.24135330072926,14,14,14
2.11721618885268,14,14,13
0.670770292681819,14,12,15
1.1694900551449,14,14,13
2.23924122879222,14,14,16
1.86078658202264,14,15,14
1.40894638963542,14,15,15
1.53603549636454,16,12,15
2.13921054918875,16,15,13
2.637760819785,14,14,14
1.57725039639611,15,15,13
1.50694933611623,13,14,13
1.28609316522872,14,14,15
1.10438536775373,14,13,13
-0.123938450874764,15,11,14
0.971369473291951,13,14,15
1.38057770951241,15,12,12
1.07758301657726,14,15,13
3.67039231670278,13,13,14
1.75655208900359,14,15,13
0.483933349166733,13,15,14
1.29407876781612,15,15,13
0.88702820532488,14,14,13
