"","x"
"1",45.23
"2",44.15
"3",41.88
"4",45.87
"5",43.03
"6",43.44
"7",45.13
"8",44.42
"9",45.46
"10",44.36
"11",42.32
"12",43.62
"13",43.54
"14",44.46
"15",42.56
"16",43.39
"17",44.34
"18",42.91
"19",43.56
"20",42.5
"21",44.69
"22",43.03
"23",44.37
"24",45.66
"25",42.55
"26",44.09
"27",43.18
"28",42.59
"29",44.41
"30",42.43
"31",42.86
"32",44.09
"33",44.14
"34",42.69
"35",43.96
"36",41.94
"37",43.81
"38",43.04
"39",42.6
"40",44.38
"41",44.9
"42",44.16
"43",43.87
"44",45.02
"45",44.3
"46",43.35
"47",43.85
"48",44.77
"49",40.67
"50",42.85
"51",44.09
"52",41.93
"53",43.24
"54",42.73
"55",42.47
"56",43.39
"57",45.14
"58",43.33
"59",42.7
"60",44.46
"61",45.75
"62",43.17
"63",44.04
"64",42.81
"65",44.9
"66",44.27
"67",43.8
"68",44.41
"69",43.71
"70",45.19
"71",44.63
"72",44.7
"73",43.34
"74",43.87
"75",42.88
"76",43.81
"77",43.54
"78",41.56
"79",43.95
"80",45.05
"81",42.22
"82",43.82
"83",42.66
"84",44.12
"85",44.68
"86",42.51
"87",44.09
"88",45.21
"89",43.28
"90",44.76
"91",43.15
"92",42.76
"93",42.85
"94",45.79
"95",42.87
"96",44.42
"97",42.65
"98",44.15
"99",44.04
"100",44.77
"101",43.76
"102",43.24
"103",46.4
"104",44.64
"105",44.15
"106",44.7
"107",46.39
"108",43.41
"109",42.92
"110",43.91
"111",43.5
"112",43.64
"113",45.73
"114",44.19
"115",43.89
"116",43.72
"117",44.71
"118",42.82
"119",44.41
"120",45.01
"121",42.5
"122",42.58
"123",43.3
"124",41.75
"125",43.17
"126",45.61
"127",44.85
"128",43.54
"129",42.08
"130",42.73
"131",42.3
"132",44.77
"133",46.28
"134",44.71
"135",42.93
"136",44.65
"137",44.6
"138",44.33
"139",42.58
"140",45.42
"141",44.78
"142",45.8
"143",44.41
"144",41.97
"145",44.1
"146",43.49
"147",43.81
"148",44.43
"149",43.85
"150",45.21
"151",44.49
"152",44.48
"153",43.53
"154",43.46
"155",45.84
"156",43.23
"157",43.95
"158",45
"159",45.82
"160",43.03
"161",44.6
"162",44.15
"163",46.34
"164",41.24
"165",44.14
"166",44.32
"167",44.29
"168",44.44
"169",44
"170",41.99
"171",44.53
"172",44.52
"173",42.91
"174",44.04
"175",44.45
"176",45.26
"177",44.66
"178",44.04
"179",43.96
"180",42.82
"181",43.61
"182",42.96
"183",42.26
"184",43.98
"185",43.79
"186",44.84
"187",44.13
"188",44.31
"189",43.92
"190",43.99
"191",45.29
"192",43.45
"193",44
"194",42.04
"195",42.48
"196",42.36
"197",42.19
"198",43.22
"199",43.73
"200",44.07
"201",44.36
"202",42.85
"203",44.54
"204",44.84
"205",43.16
"206",43.85
"207",45.87
"208",43.88
"209",42.81
"210",43.12
"211",43.85
"212",44.07
"213",43.57
"214",44.16
"215",43.69
"216",43.98
"217",42.35
"218",43.1
"219",42.28
"220",43.69
"221",44.2
"222",44.23
"223",42.21
"224",44.17
"225",43.01
"226",43.8
"227",43.98
"228",43.81
"229",44.49
"230",44.02
"231",44.71
"232",41.83
"233",44.62
"234",44.77
"235",43.43
"236",43.49
"237",43.73
"238",42.93
"239",42.96
"240",43.66
"241",43.91
"242",42.68
"243",45.83
"244",43.64
"245",44.58
"246",43.07
"247",44.52
"248",44.73
"249",43.33
"250",43.2
"251",45.38
"252",45.17
"253",45.93
"254",43.99
"255",43.38
"256",43.77
"257",43.88
"258",43.44
"259",43.42
"260",43.54
"261",44.53
"262",44.44
"263",44.5
"264",43.8
"265",43.55
"266",43.5
"267",42.97
"268",44.07
"269",43.44
"270",44.66
"271",43.38
"272",44.16
"273",44.64
"274",43.33
"275",43.37
"276",44.23
"277",44.55
"278",43.19
"279",44.11
"280",43.68
"281",42.85
"282",45.64
"283",44.05
"284",43.82
"285",43.85
"286",43.73
"287",45.07
"288",44.48
"289",43.58
"290",45.02
"291",45.61
"292",45.77
"293",44.14
"294",44.19
"295",42.23
"296",44.23
"297",42.1
"298",45.33
"299",45.53
"300",43.18
"301",43.43
"302",43.28
"303",42.94
"304",45.13
"305",44.8
"306",43.23
"307",42.81
"308",43.45
"309",43.45
"310",42.53
"311",45.92
"312",42.85
"313",44.24
"314",43.61
"315",45.55
"316",43.24
"317",43.45
"318",44.7
"319",44.36
"320",43.5
"321",43.42
"322",43.49
"323",44.25
"324",43.17
"325",44.63
"326",42.7
"327",44.89
"328",43.15
"329",43.08
"330",44.39
"331",44.61
"332",43.56
"333",43.38
"334",45.57
"335",44.84
"336",44.99
"337",44.95
"338",44.22
"339",43.35
"340",44.56
"341",43.66
"342",42.69
"343",42.59
"344",44.26
"345",45.32
"346",43.96
"347",45.55
"348",44.29
"349",43.09
"350",45.13
"351",45.48
"352",43.63
"353",45.58
"354",43.07
"355",43.18
"356",44.83
"357",43.82
"358",42.97
"359",46.25
"360",43.96
"361",43.32
"362",44.24
"363",43.47
"364",44.02
"365",44.06
"366",44.14
"367",44.22
"368",42.92
"369",42.09
"370",43.7
"371",43.81
"372",44.07
"373",46.65
"374",43.56
"375",43.91
"376",42.91
"377",44.63
"378",45.97
"379",46.47
"380",43.39
"381",43.86
"382",41.86
"383",43.72
"384",43.99
"385",43.31
"386",43.49
"387",44.08
"388",44.31
"389",43.94
"390",42.06
"391",44.06
"392",45.51
"393",41.83
"394",42.99
"395",45.6
"396",43.99
"397",42.71
"398",42.89
"399",43.5
"400",43.75
"401",44.04
"402",46.19
"403",43.96
"404",44.46
"405",43.68
"406",41.71
"407",43.81
"408",43.67
"409",42.83
"410",45.99
"411",41.89
"412",44.91
"413",44.74
"414",43.95
"415",43.81
"416",44.15
"417",43.23
"418",45.51
"419",43.23
"420",42.98
"421",45.18
"422",43.7
"423",44.7
"424",43.81
"425",44.61
"426",43.95
"427",45.48
"428",46.4
"429",44.36
"430",41.38
"431",43.42
"432",44.71
"433",44.39
"434",42.38
"435",43.97
"436",43.96
"437",43.95
"438",42.21
"439",44.02
"440",45.24
"441",43.75
"442",42.84
"443",45.88
"444",43.85
"445",43.11
"446",43.04
"447",46.12
"448",44.39
"449",43.84
"450",43.63
"451",43.25
"452",43.7
"453",42.31
"454",43.05
"455",43.39
"456",44.09
"457",44.29
"458",43.85
"459",44.36
"460",46.22
"461",43.64
"462",45.29
