,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,resp
1,4.58836202,5.470843958,6.650615148,5.93281967,3.90300516,5.612334257,6.559966527,8.002594227,7.106927655,5.323371392,5.766790352,6.779429436,6.250081101,5.842322298,7.121691516,4.215878649,5.778487148,5.22648883,6.30285476,3.882974063
2,5.956448427,4.45098508,7.089944791,6.127047481,5.517946853,7.185264119,5.416413083,6.254803964,4.240448263,5.475773146,5.967726452,5.664054033,5.319009635,6.215844832,6.298937848,5.63410627,6.466154011,4.604684973,5.819458915,6.501333318
3,4.091558748,4.645170192,5.948290694,6.320157865,4.566397665,6.634672979,5.474247426,7.443295495,6.875827848,5.035662336,5.981396625,6.656810476,7.372212438,5.107262846,5.674462777,6.955696182,6.486433017,6.760503384,5.992567421,2.460853849
4,5.073424479,4.890978722,5.399454925,6.640877556,5.387406727,4.972052567,4.63383294,7.184621741,5.736365563,5.758734191,5.709018562,7.21978599,6.077339731,6.839636951,5.869785587,5.962368121,6.271523083,6.050931758,8.916997934,6.842698025
5,6.478196066,6.921353734,7.252389291,5.193300641,4.797834893,6.541395811,4.554120643,8.021670838,5.954109871,7.179068588,5.733948332,7.083937922,7.005273679,5.938024973,6.049633765,6.957390979,5.584897504,6.381281476,6.435355161,1.344372011
6,3.998053282,7.210699844,5.943767625,6.767707986,5.998605282,6.085925829,4.551952231,4.75854743,4.9502951,5.55953802,7.822365279,5.655629486,5.392361675,4.491661932,4.749144246,6.857941647,6.667410585,6.424143834,6.3550993,3.981661658
7,5.970675113,4.830629563,5.844352656,5.081555934,6.709532893,5.142912902,4.997203746,6.942749532,6.09020356,5.933102605,5.914372625,5.984281827,5.241190084,6.41091465,5.949281609,6.584263464,4.629865305,5.974038511,5.74276469,7.100909166
8,6.861969765,7.212044052,5.856774818,6.220853137,6.396391358,5.916873085,5.595414608,5.413196662,5.893747897,5.96804873,6.554076418,5.919792426,7.139665534,6.607268322,4.133055084,5.14402336,3.435438638,6.73739017,4.707354872,2.637207125
9,4.781371558,4.847655398,6.260570199,5.911750882,6.535416563,6.616315822,5.088798021,5.257958607,5.356330718,7.72329452,5.997595301,6.520162978,6.080816334,4.084480514,6.679901735,7.421533989,4.887965463,5.020873704,6.013442214,3.2705236
10,5.897826191,5.937624112,4.626181384,5.956059864,5.494918165,6.266999622,4.543690708,5.050448072,5.227592253,7.68289442,5.321582347,6.375842476,4.73228147,3.429383838,8.622798608,6.891224018,4.289551952,5.790182297,4.380034188,1.924454784
11,6.491720415,4.560090095,5.395826256,6.353023041,6.792973161,6.59709018,5.153759136,6.878390148,5.5898992,"""7.0221587045485""",5.980627924,5.945445899,5.840376185,5.420032863,7.529397883,5.893811523,5.469904105,4.839674565,5.932705433,3.356435127
12,4.699826162,5.703280915,5.786095892,5.315170917,4.931430058,7.31898134,4.547513067,6.106758479,7.71988966,4.253378459,5.797350427,5.278261021,6.042003671,7.021097197,4.48973288,6.923356907,6.395199552,5.958502493,5.663866149,4.641144855
13,7.070808615,5.751432411,5.784247706,5.538498269,5.722372627,5.933439468,4.847632462,6.390453521,6.134358193,6.40691341,7.202346947,5.151351327,6.123396639,6.652654049,6.469640476,7.337362902,4.367476327,7.120271307,7.054368532,6.732218652
