divergence,Haldanes,Speciies
26,,0
11.5,,0
11.5,0,1
6.4,0,1
4.42,1,1
6.2,0,1
7.9,0,1
4.8,,0
1.77,,0
4.8,0,1
6.1,0,1
4.8,0,1
6.1,,0
6.1,1,1
6.8,,0
14.3,,0
17.2,1,1
1.82,0,1
28.9,,0
13.9,,0
14.3,,0
13.5,1,1
13.5,1,1
17.2,,0
17.2,,0
28.9,,0
31,,0
14.3,1,1
14.3,1,1
13.5,1,1
13.5,1,1
17.2,1,1
17.2,,0
3.44,0,1
1.13,0,1
3.32,0,1
37,,0
2.48,0,1
2.48,0,1
2.48,0,1
4.83,0,1
7.1,0,1
7.1,0,1
4.93,0,1
4.83,0,1
4.83,0,1
4.83,0,1
3.49,0,1
0.153,0,1
0.105,0,1
11.7,1,1
29.5,,0
29.5,,0
12.1,1,1
6.4,0,1
6.9,0,1
5.3,0,1
31,,0
31,,0
31,,0
31,,0
51,,0
38,,0
32,,0
31,1,1
31,,0
6.7,0,1
6.9,0,1
31,,0
13.8,1,1
28.9,,0
17.2,1,1
6.5,1,1
6.5,0,1
2.18,0,1
7.5,1,1
7.5,1,1
7.5,1,1
7.5,1,1
7.5,1,1
2.78,,1
6.5,1,1
17.2,1,1
17.2,1,1
17.2,1,1
6.5,,1
14.3,1,1
17.2,1,1
17.2,1,1
17.2,1,1
17.2,1,1
17.2,1,1
51,,0
29.5,,0
5.6,1,1
4.36,0,1
51,,0
51,,0
51,,0
1.44,0,1
2.07,0,1
4.24,0,1
3.18,0,1
0.283,0,1
3.18,0,1
3.18,0,1
2.59,0,1
24,,0
2.99,0,1
17.2,1,1
17.2,,0
29.5,,0
28.9,,0
17.2,1,1
0.125,0,1
3.56,0,1
12,1,1
12.7,,0
12,1,1
12.7,1,1
6.6,1,1
8.1,0,1
0.507,0,1
,0 = no haldanes rule 1=haldanes rule,0=cant hybridize
