"assay","temp_c","activity"
1,25.6160467932932,45.0424989221144
2,19.7068037008867,35.5608470863034
3,23.0981907695532,38.7956486383163
4,18.9486378859729,37.2015015674194
5,24.699953973759,65.372094333161
6,28.2969914572313,50.3307355620226
7,26.6325494693592,46.5366976867633
8,19.3991909953766,34.3301721656394
9,24.0690941987559,42.6457390324421
10,18.1650228207,34.8595879201827
11,24.3160942853428,43.1336712399593
12,19.5997958010994,36.8108147698041
13,24.6358492262661,42.5210312044801
14,16.6709551285021,29.8462493157227
15,23.9941671080887,47.6177811636637
16,23.3626134004444,37.3617664947801
17,29.8561226353049,50.3364898678219
18,23.7912248810753,66.1887667741215
19,21.9319898919202,37.0330178939283
20,17.5821810937487,30.7678002930463
21,27.4105586116202,47.6397247475655
22,23.3317358475178,38.2272868541787
23,26.6991984355263,43.73981921618
24,25.786389620509,43.568487811827
25,23.1176033043303,42.8631683405446
26,28.4053290542215,47.5682393711728
27,28.2956268624403,47.4270716720089
28,25.686144887004,45.2657504153222
29,17.6667760908604,29.0063224260392
30,20.9060984053649,36.3662809394666
31,25.9788390137255,39.7858732437604
32,19.41388337221,35.6543055538425
33,24.6379799610004,44.1183505581787
34,28.8687364063226,43.4092836329951
35,21.6491668443196,38.0532727260805
36,26.4915521661751,43.520937471017
37,16.0879679764621,31.4429798611513
38,19.083767442964,37.6046449475041
39,19.4982302007265,34.3300136820651
40,20.2829434839077,34.8883361373364
