"i","asc1","desc1","asc2","desc2","tran12","tran21","p"
1,0.118687457885143,0.0559685734950174,0.196809510199863,0.0478075467434017,0.0325409256951396,0.0415576059830135,-1061.25641497461
2,0.0592246883130678,0.0611782577404056,0.119035347092174,0.0874759515453113,0.0231762213861469,0.0354229416801411,-1035.49998078108
3,0.0451175543958384,0.0549264082524239,0.119178845500475,0.0889633950718653,0.0226863481029369,0.0395374271808628,-1033.99841371347
4,0.0400367604245603,0.0331140331192355,0.0807085305195019,0.173352932402032,0.0377767304706937,0.0411417237636579,-1030.28825716324
5,0.0371904026989494,0.0682469122704643,0.0776605643318701,0.163835498247204,0.0253782207093746,0.0376729249157283,-1030.60204143259
6,0.0208668157908484,0.0429363970316111,0.102880182184426,0.177506409094885,0.0327395868693205,0.0377395601270956,-1025.81143079376
7,0.011836525228087,0.0428949414380315,0.105576499948332,0.150629802822975,0.0376569090863517,0.0433679251357312,-1026.44399467696
8,0.00818733766803124,0.0503645152526892,0.0860127196265257,0.16333480999379,0.0398357194569554,0.0429861554261187,-1028.18818203222
9,0.045336076621488,0.0317855413262498,0.147316832688357,0.154023591691547,0.0357443219883644,0.0388841357262202,-1028.5087766888
10,0.0295466234412743,0.0308622329521976,0.116452133667024,0.147783330338175,0.0354298370671598,0.0474584073700348,-1025.88334170202
11,0.0195054665871119,0.0280701068194158,0.100131344988455,0.145526255258587,0.0363302162136664,0.0597067404725761,-1027.63444144681
12,0.0332345427444016,0.0216633995784924,0.0981562607165428,0.156488515968417,0.0360944939913219,0.0527500275641185,-1026.49529636373
13,0.0249725468444394,0.0484820986817121,0.0788840660150938,0.138380319019976,0.0383054895003942,0.0501712842515406,-1026.33672374324
14,0.0313701547459182,0.0196757552421482,0.136693847868011,0.151341188989823,0.0484043318008181,0.0487954653030866,-1025.20551775093
15,0.025879464352187,0.0212589468085116,0.151108353347126,0.14807251221647,0.0489341755348393,0.0495745583430741,-1026.83136458048
16,0.0264147340037981,0.0184036194652735,0.143825982878906,0.166595874562701,0.0388195216133647,0.0446193936009236,-1024.8550063859
17,0.019862877390995,0.0143251556623049,0.147513561889079,0.156984802841035,0.0514305720863043,0.0473503944182873,-1026.91438773586
18,0.0202981747626571,0.0113691764061577,0.14647999131586,0.182456625991134,0.044481136141234,0.0529843740273415,-1025.42183868945
19,0.0315318637015342,0.0107833102470518,0.162493477680373,0.173205798667254,0.0451351935784671,0.0510459665091274,-1025.51776181406
20,0.0372985860123992,0.0198128644767297,0.121480497102144,0.131813773108271,0.039644720783665,0.0541733608093799,-1026.79007610417
21,0.0380975576806525,0.00326460053231291,0.137810634384032,0.121430524947136,0.0404516744266508,0.0473697792713347,-1030.20185702165
