"seedling","dose","temperature","days","event"
1,2.46703382371925,23.6347555251591,86.6266853827983,0
2,1.43185360520147,27.5634497970171,33.0444991868693,1
3,1.13769101304933,24.9126378926086,62.699396465905,0
4,0.799748866818845,22.4205103275966,15.3950857075481,1
5,0.796565959230065,26.1267323197537,5.6205234633493,1
6,1.89791471371427,28.4623015782519,15.710094894506,1
7,0.800124616362154,23.8930280970134,30.9178759989289,1
8,1.41009437176399,25.1204137664502,49.32186531918,1
9,2.15784854697995,24.6472454139876,76.6900578606874,0
10,1.02082685963251,25.7795005460598,45.5363218961372,1
11,2.20617679855786,23.8025247387699,91.4085068996064,0
12,0.323162784799933,21.0300448354181,77.7946225722261,1
13,2.57110820082016,25.9642395263308,56.725977083445,1
14,0.981864203698933,25.0527250394677,39.7131464935635,1
15,2.43488676147535,27.9272602301712,83.1830767763313,0
16,1.89730909187347,23.8188447609373,28.0331674019072,1
17,2.20115453051403,25.1041209361449,43.9283372602985,1
18,2.34511079848744,27.3551205720125,82.3421057052607,1
19,2.70972017780878,23.1790084670151,47.8918363035598,1
20,0.405658930772915,25.1220218327387,12.5907275511011,1
21,2.32147613656707,25.0549679136533,0.197457233812654,1
22,2.31437872233801,25.9920879647436,48.5003502002116,1
23,0.915587902301922,23.0200816657324,13.5674269564508,1
24,0.890316974837333,24.4623091465043,46.4527234109119,0
25,2.68138699117117,26.4527986353542,69.2163979660612,1
26,0.707953537814319,23.7903074015685,21.7098372807669,1
27,2.83418332762085,23.6390800551892,4.47585855132397,1
28,0.749973403522745,26.8275381471332,32.914484233485,1
29,2.07620588480495,23.7234739013016,48.4165412804577,0
30,1.89851740817539,21.4360566201407,85.1928561460227,0
31,0.64442787389271,25.5757575885069,55.438758143029,1
32,0.630750048207119,24.4642031356741,29.3289008839282,1
33,2.14640816906467,24.9023309646936,15.2070780328475,1
34,0.125628996407613,24.6796507467616,45.8933464076317,1
35,0.222483556950465,23.4374571255284,57.9936924135069,1
36,0.644368035485968,26.3410515936616,18.2245016671633,1
37,0.223297476768494,23.6575300254111,79.0614487719722,0
38,1.21764895459637,24.9661934727046,76.197018714156,0
39,2.30678295437247,27.3717049748152,61.5850726398639,0
40,1.54862081562169,27.3815763109725,17.9884207839088,1
41,0.102990736020729,23.8456232336573,38.6402093709465,1
42,2.09838235192001,20.8557449323859,41.5856301946452,1
43,0.0388215598650277,27.2580434957486,0.381993316580956,1
44,0.623022123472765,27.0947411370586,28.9556769215005,1
45,2.38584589376114,23.658904597396,73.9281255332753,0
46,2.40008160355501,24.1799039197392,79.5351017502669,1
47,0.875158625654876,24.1522662564069,18.1311596732384,1
48,0.173597840359434,26.2423969397724,27.4687524084215,1
49,2.66732925013639,29.1018227817374,10.6925683216267,1
50,1.94591412157752,28.1396460698601,7.68902455655482,1
51,1.14487537764944,21.1392332020115,1.48592663311528,1
52,1.68352239369415,27.2973258493471,66.1334239506764,1
53,0.960072767687961,22.2621383415072,64.4964212947525,0
54,0.286514298990369,23.6419912716883,10.0531908410238,1
