"day","plant","habitat","minutes","visits"
1,1,"Open",32,22
2,1,"Open",58,10
3,1,"Open",25,9
4,1,"Open",48,23
1,2,"Open",43,5
2,2,"Open",53,7
3,2,"Open",57,2
4,2,"Open",49,5
1,3,"Open",43,11
2,3,"Open",20,0
3,3,"Open",25,3
4,3,"Open",36,5
1,4,"Open",25,2
2,4,"Open",24,5
3,4,"Open",47,7
4,4,"Open",38,4
1,5,"Open",56,35
2,5,"Open",34,26
3,5,"Open",35,13
4,5,"Open",27,14
1,6,"Open",20,6
2,6,"Open",31,17
3,6,"Open",48,26
4,6,"Open",34,7
1,7,"Open",60,11
2,7,"Open",28,5
3,7,"Open",24,9
4,7,"Open",53,8
1,8,"Open",22,1
2,8,"Open",46,4
3,8,"Open",23,3
4,8,"Open",53,7
1,9,"Open",48,9
2,9,"Open",57,12
3,9,"Open",40,5
4,9,"Open",41,7
1,10,"Open",40,7
2,10,"Open",42,5
3,10,"Open",41,11
4,10,"Open",20,1
1,11,"Open",39,2
2,11,"Open",59,7
3,11,"Open",37,4
4,11,"Open",34,3
1,12,"Open",30,5
2,12,"Open",57,7
3,12,"Open",28,2
4,12,"Open",22,2
1,13,"Open",33,2
2,13,"Open",57,11
3,13,"Open",59,11
4,13,"Open",41,7
1,14,"Open",50,4
2,14,"Open",27,5
3,14,"Open",49,7
4,14,"Open",52,2
1,15,"Open",30,3
2,15,"Open",41,8
3,15,"Open",31,13
4,15,"Open",53,9
1,16,"Open",43,11
2,16,"Open",45,9
3,16,"Open",57,7
4,16,"Open",43,5
1,17,"Open",59,2
2,17,"Open",36,5
3,17,"Open",30,3
4,17,"Open",60,5
1,18,"Open",22,7
2,18,"Open",54,11
3,18,"Open",56,8
4,18,"Open",35,8
1,19,"Open",59,5
2,19,"Open",21,4
3,19,"Open",52,5
4,19,"Open",52,14
1,20,"Open",27,2
2,20,"Open",57,24
3,20,"Open",48,15
4,20,"Open",52,3
1,21,"Open",30,3
2,21,"Open",58,5
3,21,"Open",43,15
4,21,"Open",45,7
1,22,"Open",28,2
2,22,"Open",24,3
3,22,"Open",35,1
4,22,"Open",44,3
1,23,"Open",21,4
2,23,"Open",50,7
3,23,"Open",42,18
4,23,"Open",48,10
1,24,"Open",23,2
2,24,"Open",30,3
3,24,"Open",22,1
4,24,"Open",47,13
1,25,"Sheltered",44,15
2,25,"Sheltered",59,3
3,25,"Sheltered",43,20
4,25,"Sheltered",53,14
1,26,"Sheltered",46,8
2,26,"Sheltered",52,15
3,26,"Sheltered",40,21
4,26,"Sheltered",55,27
1,27,"Sheltered",47,24
2,27,"Sheltered",41,33
3,27,"Sheltered",24,16
4,27,"Sheltered",26,18
1,28,"Sheltered",41,7
2,28,"Sheltered",41,9
3,28,"Sheltered",58,10
4,28,"Sheltered",29,5
1,29,"Sheltered",56,8
2,29,"Sheltered",47,21
3,29,"Sheltered",54,41
4,29,"Sheltered",43,16
1,30,"Sheltered",46,9
2,30,"Sheltered",44,36
3,30,"Sheltered",43,22
4,30,"Sheltered",38,15
1,31,"Sheltered",35,3
2,31,"Sheltered",58,5
3,31,"Sheltered",43,7
4,31,"Sheltered",28,4
1,32,"Sheltered",32,37
2,32,"Sheltered",33,7
3,32,"Sheltered",43,16
4,32,"Sheltered",48,25
1,33,"Sheltered",21,2
2,33,"Sheltered",22,2
3,33,"Sheltered",20,6
4,33,"Sheltered",28,13
1,34,"Sheltered",38,5
2,34,"Sheltered",36,1
3,34,"Sheltered",46,8
4,34,"Sheltered",49,9
1,35,"Sheltered",53,14
2,35,"Sheltered",44,14
3,35,"Sheltered",41,5
4,35,"Sheltered",59,10
1,36,"Sheltered",24,1
2,36,"Sheltered",47,18
3,36,"Sheltered",58,11
4,36,"Sheltered",35,4
1,37,"Sheltered",40,22
2,37,"Sheltered",57,35
3,37,"Sheltered",51,26
4,37,"Sheltered",47,15
1,38,"Sheltered",38,3
2,38,"Sheltered",56,7
3,38,"Sheltered",45,13
4,38,"Sheltered",23,3
1,39,"Sheltered",26,22
2,39,"Sheltered",52,29
3,39,"Sheltered",30,4
4,39,"Sheltered",53,14
1,40,"Sheltered",49,6
2,40,"Sheltered",24,6
3,40,"Sheltered",36,3
4,40,"Sheltered",50,11
1,41,"Sheltered",51,9
2,41,"Sheltered",50,6
3,41,"Sheltered",29,7
4,41,"Sheltered",33,7
1,42,"Sheltered",59,7
2,42,"Sheltered",48,7
3,42,"Sheltered",56,4
4,42,"Sheltered",41,5
1,43,"Sheltered",52,11
2,43,"Sheltered",49,7
3,43,"Sheltered",31,18
4,43,"Sheltered",48,37
1,44,"Sheltered",44,3
2,44,"Sheltered",52,9
3,44,"Sheltered",21,3
4,44,"Sheltered",45,6
1,45,"Sheltered",48,4
2,45,"Sheltered",47,4
3,45,"Sheltered",27,5
4,45,"Sheltered",50,7
1,46,"Sheltered",30,4
2,46,"Sheltered",46,15
3,46,"Sheltered",30,11
4,46,"Sheltered",21,3
1,47,"Sheltered",41,2
2,47,"Sheltered",24,6
3,47,"Sheltered",33,15
4,47,"Sheltered",29,7
1,48,"Sheltered",49,6
2,48,"Sheltered",53,14
3,48,"Sheltered",50,14
4,48,"Sheltered",37,19
