US,CAN
20.72,28.4
26.93,26.36
21.05,20.28
23.15,22.52
NA,NA
19.44,18.13
26.11,21.48
19.14,25.93
19.35,24.37
20.16,16.64
22.21,23.32
17.54,18.42
21.69,22.17
15.6,33.24
19.52,21.25
13.71,28.2
19.01,23.6
21.34,15.07
22.74,21.14
16.98,19.27
20.59,16.13
25.87,21.24
19.52,19.52
22.74,22.33
23.79,15.96
23.7,17.75
20.47,20.66
24.52,20.08
19.64,22.21
15.96,14.9
22.47,5.22
23.87,16.81
18.59,15.88
17.48,22.23
16.12,22.86
17.39,21.41
18.54,16.35
23.79,18.47
20.29,20.95
20.5,16.87
20.37,21.02
16.56,18.49
19.5,24.75
24.31,14.52
20.76,16.38
19.81,21.45
15.77,8.86
24.89,16.88
23.38,27.92
19.19,23.04
23.33,24.14
21.31,22.56
20.5,24.66
22.22,12.51
29.48,15.86
19.12,12.18
20.45,20.62
25.41,22.03
24.62,18.6
23.26,13.14
18.7,23.93
25.49,22.12
21.95,15.67
25.72,19.3
16.11,21.55
24.34,19.56
21.18,26.56
23.08,23.16
21.69,29.25
16.9,15.36
25.17,22.28
17.42,24.96
20.82,17.59
23.05,18.16
20.46,24.55
20.77,21.19
19.88,10.35
21.13,15.17
21.53,17.9
23.2,17.58
16.02,26.03
24.2,23.86
19.79,19.91
14.54,20.93
23.16,15.58
19.58,11.76
19.34,18.07
24.16,18.17
21.53,19.77
21.18,19.4
28.2,12.48
25.71,19.69
22.44,29.29
23.14,25.47
21.24,16.34
19.51,20.07
16.84,14.67
19.66,20.24
24.01,22.26
20.25,24.71
