"fin_length","fin_width","capture_id","pond_id","sex"
"2.345","2.382","2568","9","male"
"2.553","2.477","2693","4","male"
"2.296","1.945","1075","6","male"
"2.606","2.368","2751","2","male"
"2.528","2.624","1949","10","male"
"2.568","2.66","1155","8","male"
"2.593","2.615","2632","3","male"
"2.824","2.782","1815","9","male"
"2.378","2.091","2410","3","male"
"2.649","3.14","1451","10","male"
"2.776","3.072","1618","3","male"
"2.408","2.605","1489","7","male"
"2.471","2.128","2857","9","male"
"2.537","2.464","2137","4","male"
"2.279","2.488","2861","2","male"
"2.585","2.822","1384","4","male"
"2.377","2.411","2695","6","male"
"2.554","2.273","2698","2","male"
"2.712","2.822","1085","10","male"
"2.522","2.43","1941","9","male"
"2.72","2.863","2680","7","male"
"2.571","2.429","2851","4","male"
"2.338","2.228","1402","10","male"
"2.794","2.541","2736","5","male"
"2.672","2.458","2222","3","male"
"2.632","2.817","1727","10","male"
"2.533","2.641","1034","4","male"
"2.22","2.241","1853","1","male"
"2.668","2.84","2198","2","male"
"2.702","2.354","1281","3","male"
"2.61","2.791","2397","1","male"
"2.329","2.336","1958","1","male"
"2.877","2.864","1200","6","male"
"2.376","1.974","2001","8","male"
"2.398","2.075","2248","3","male"
"2.774","2.871","1675","7","male"
"2.539","2.395","1866","3","male"
"2.234","2.25","1779","7","male"
"2.798","2.855","1874","9","male"
"2.769","2.836","1079","9","male"
"2.863","3.034","1792","5","male"
"2.575","2.378","2924","3","male"
"2.525","2.585","1858","7","male"
"2.445","2.515","1081","1","male"
"2.552","2.59","2261","1","male"
"2.629","2.264","2530","1","male"
"2.633","2.535","2711","4","male"
"2.606","2.545","1769","2","male"
"2.874","3.01","2010","9","male"
"2.629","2.498","1758","8","male"
"2.625","2.383","1686","3","male"
"2.242","2.33","1892","3","male"
"2.562","2.408","2634","5","male"
"2.361","2.487","1399","4","male"
"2.404","2.491","1011","1","male"
"2.498","2.593","2753","7","male"
"2.52","2.511","1121","6","male"
"2.593","2.658","2832","6","male"
"2.487","2.234","1348","5","male"
"2.021","1.844","2749","1","male"
"2.468","2.206","2212","3","male"
"2.938","3.328","2372","8","male"
"2.649","2.951","2374","7","male"
"2.375","2.369","2392","10","male"
"2.775","2.835","1794","3","male"
"2.489","2.69","1028","4","male"
"2.739","3.009","1974","1","male"
"2.78","2.767","1750","5","male"
"2.481","2.67","2028","5","male"
"2.766","2.912","1559","4","male"
"2.499","2.701","1335","4","male"
"2.31","2.224","2748","5","male"
"2.53","2.527","2672","6","male"
"2.445","2.118","2938","4","male"
"2.431","2.257","1730","2","male"
"2.374","2.64","2889","1","male"
"2.531","2.522","1708","5","male"
"2.747","2.917","2843","3","male"
"2.345","2.478","1707","5","male"
"2.284","2.15","1484","3","male"
"2.351","2.597","2601","1","male"
"2.697","2.653","1939","7","male"
"2.257","2.276","2048","1","male"
"2.96","2.858","2556","3","male"
"2.809","2.423","2058","7","male"
"2.806","2.836","2347","10","male"
"2.453","2.445","2827","8","male"
"2.436","2.171","1824","3","male"
"2.442","2.452","1133","3","male"
"2.542","2.268","1717","8","male"
"2.603","2.783","1990","10","male"
"3.02","3.099","2063","10","male"
"2.669","2.242","1665","2","male"
"2.78","2.787","2640","4","male"
"2.222","2.233","1197","5","male"
"2.378","2.053","2448","9","male"
"2.814","3.05","1657","5","male"
"2.616","2.88","2671","7","male"
"2.585","2.615","1446","6","male"
"2.84","2.583","1743","3","male"
"1.95","1.996","2691","3","female"
"1.962","2.265","1342","5","female"
"2.157","2.938","2151","4","female"
"1.966","1.955","2854","2","female"
"2.05","0.853","2636","1","female"
"2.054","1.902","1674","7","female"
"2.118","1.796","2068","2","female"
"1.895","1.418","2772","5","female"
"1.971","1.601","1521","10","female"
"2.195","3.079","2742","2","female"
"2.051","2.111","1723","9","female"
"2.083","2.216","1631","3","female"
"2.052","2.615","1790","1","female"
"2.123","2.593","2131","3","female"
"2.152","2.656","2898","1","female"
"2.109","1.316","2446","8","female"
"2.009","2.083","2458","1","female"
"2.118","2.331","1068","2","female"
"2.267","2.195","2471","7","female"
"2.127","2.042","1209","6","female"
"2.009","1.849","1137","2","female"
"1.999","0.561","1596","7","female"
"2.015","0.654","1591","7","female"
"2.034","2.652","1849","10","female"
"2.04","1.734","1590","1","female"
"2.122","2.623","2968","3","female"
"2.191","2.652","2236","7","female"
"2.025","2.641","1374","1","female"
"2.044","2.439","2394","6","female"
"1.966","1.333","1391","9","female"
"2.007","1.965","2159","1","female"
"1.853","1.946","2249","10","female"
"2.312","1.825","2247","8","female"
"1.965","2.437","1266","5","female"
"2.047","2.147","2613","3","female"
"2.045","1.997","2896","7","female"
"1.994","2.195","1466","3","female"
"2.087","1.448","1411","8","female"
"2.16","3.209","2998","3","female"
"1.959","1.935","1193","2","female"
"2.193","2.88","1802","8","female"
"1.944","2.405","2606","6","female"
"2.108","2.434","1386","4","female"
"2.053","1.89","2689","4","female"
"1.899","2.002","1778","9","female"
"1.806","1.451","2554","2","female"
"2.021","1.997","2702","8","female"
"2.014","2.546","2701","8","female"
"1.972","1.86","1066","3","female"
"2.178","2.712","1514","4","female"
"2.013","2.471","1828","6","female"
"1.993","1.644","1836","4","female"
"2.007","1.867","1009","9","female"
"1.922","1.905","2379","5","female"
"1.966","1.606","1198","9","female"
"2.024","2.325","2575","9","female"
"2.072","2.065","1095","8","female"
"2.013","1.32","2343","5","female"
"1.971","1.699","1646","4","female"
"2.241","1.905","1238","1","female"
"1.993","2.278","1418","10","female"
"2","2.379","2252","6","female"
"2.113","1.628","1511","9","female"
"2.061","0.708","2594","10","female"
"2.102","0.498","2479","8","female"
"1.959","2.257","2413","7","female"
"2.022","2.421","2650","6","female"
"2.008","3.031","1189","10","female"
"2.065","2.013","1928","6","female"
"2.072","2.436","2147","3","female"
"2.082","1.999","2430","9","female"
"1.995","1.429","1501","2","female"
"2.114","2.068","2123","9","female"
"2.022","1.896","1763","6","female"
"2.013","1.78","2079","10","female"
"2.192","2.235","1926","3","female"
"2.057","1.917","1898","9","female"
"2.087","1.556","2199","4","female"
"2.091","2.092","2262","10","female"
"2.186","2.726","1568","5","female"
"1.99","2.484","2833","7","female"
"2.16","2.954","2891","4","female"
"2.207","1.976","1532","6","female"
"2.076","2.001","1755","1","female"
"2.035","0.896","1459","9","female"
"2.091","1.768","2352","3","female"
"2.181","1.689","1905","9","female"
"1.891","2.38","2776","3","female"
"1.991","1.912","2112","8","female"
"2.046","1.369","2508","7","female"
"1.926","1.805","1650","8","female"
"2.098","1.731","1366","1","female"
"1.952","2.175","1183","7","female"
"2.121","2.601","1570","9","female"
"2.07","1.315","2546","9","female"
"1.978","1.596","2322","5","female"
"1.976","1.488","1714","3","female"
"1.903","1.407","1628","2","female"
"2.102","1.838","2930","1","female"
"2.129","1.567","2324","10","female"
