"size","id","day","sex","food","incubator","temp"
16.2861978776756,1,1,"male","wheat",2,37
20.0763446578687,1,2,"male","wheat",2,37
24.2406748109538,1,3,"male","wheat",2,37
27.0896784945741,1,4,"male","wheat",2,38
29.9061934229376,1,5,"male","wheat",2,38
32.0384808910151,1,6,"male","wheat",2,40
34.4883811107621,1,7,"male","wheat",2,35
38.949126766688,1,8,"male","wheat",2,37
41.9507930197366,1,9,"male","wheat",2,38
44.7238356668886,1,10,"male","wheat",2,39
48.1668946704914,1,11,"male","wheat",2,38
51.4349709605274,1,12,"male","wheat",2,36
54.5439268737575,1,13,"male","wheat",2,35
59.8234389653368,1,14,"male","wheat",2,37
63.3840710106496,1,15,"male","wheat",2,39
66.7349643890765,1,16,"male","wheat",2,34
71.3328874063213,1,17,"male","wheat",2,36
75.9159607428472,1,18,"male","wheat",2,39
81.7354738779695,1,19,"male","wheat",2,37
87.1136285566971,1,20,"male","wheat",2,38
91.8668275781183,1,21,"male","wheat",2,34
99.4111324108741,1,22,"male","wheat",2,37
106.37986142357,1,23,"male","wheat",2,36
113.062750920156,1,24,"male","wheat",2,36
120.9701509419,1,25,"male","wheat",2,38
129.544307065357,1,26,"male","wheat",2,38
138.567222196861,1,27,"male","wheat",2,38
148.196247849812,1,28,"male","wheat",2,40
159.442028951944,1,29,"male","wheat",2,36
171.436275938256,1,30,"male","wheat",2,38
17.5639649231025,2,1,"female","wheat",2,37
20.8941884907209,2,2,"female","wheat",2,37
24.9575499053953,2,3,"female","wheat",2,37
27.8700795272755,2,4,"female","wheat",2,38
30.6178862854326,2,5,"female","wheat",2,38
32.5960641220284,2,6,"female","wheat",2,40
34.6833538978432,2,7,"female","wheat",2,35
39.0643907350379,2,8,"female","wheat",2,37
42.3634316639108,2,9,"female","wheat",2,38
45.1776501147513,2,10,"female","wheat",2,39
48.85945534926,2,11,"female","wheat",2,38
52.498614095986,2,12,"female","wheat",2,36
55.5283506061576,2,13,"female","wheat",2,35
60.537641943989,2,14,"female","wheat",2,37
64.4697449396176,2,15,"female","wheat",2,39
67.9563308208569,2,16,"female","wheat",2,34
72.2484284142495,2,17,"female","wheat",2,36
76.9750635956826,2,18,"female","wheat",2,39
83.085234954948,2,19,"female","wheat",2,37
88.1913122669102,2,20,"female","wheat",2,38
93.3642470560881,2,21,"female","wheat",2,34
100.451487898716,2,22,"female","wheat",2,37
107.495049082684,2,23,"female","wheat",2,36
114.602141656948,2,24,"female","wheat",2,36
122.597817377597,2,25,"female","wheat",2,38
130.898486587731,2,26,"female","wheat",2,38
140.288472097227,2,27,"female","wheat",2,38
149.219838057279,2,28,"female","wheat",2,40
160.072224162139,2,29,"female","wheat",2,36
172.116834301886,2,30,"female","wheat",2,38
21.2993130091184,3,1,"male","wheat",2,37
24.9431362156698,3,2,"male","wheat",2,37
28.387060832926,3,3,"male","wheat",2,37
31.0334828340786,3,4,"male","wheat",2,38
33.7726832053498,3,5,"male","wheat",2,38
35.7764128229239,3,6,"male","wheat",2,40
38.3721421851383,3,7,"male","wheat",2,35
42.6965188371476,3,8,"male","wheat",2,37
46.339832513382,3,9,"male","wheat",2,38
49.23778281859,3,10,"male","wheat",2,39
52.6506266305618,3,11,"male","wheat",2,38
56.2226734853683,3,12,"male","wheat",2,36
59.684672924088,3,13,"male","wheat",2,35
64.9572281547706,3,14,"male","wheat",2,37
68.4632917717778,3,15,"male","wheat",2,39
72.3928608814954,3,16,"male","wheat",2,34
77.1641818864748,3,17,"male","wheat",2,36
81.6595908700102,3,18,"male","wheat",2,39
88.0017355922933,3,19,"male","wheat",2,37
93.6458224353752,3,20,"male","wheat",2,38
98.9626603009927,3,21,"male","wheat",2,34
106.310681328141,3,22,"male","wheat",2,37
113.279738635176,3,23,"male","wheat",2,36
120.437816064853,3,24,"male","wheat",2,36
128.571404322505,3,25,"male","wheat",2,38
137.026749230574,3,26,"male","wheat",2,38
146.579908940806,3,27,"male","wheat",2,38
155.95752919892,3,28,"male","wheat",2,40
167.249280167027,3,29,"male","wheat",2,36
179.380462472095,3,30,"male","wheat",2,38
17.2129661982022,4,1,"female","wheat",2,37
20.9248314774025,4,2,"female","wheat",2,37
24.7314163239044,4,3,"female","wheat",2,37
27.2654117084642,4,4,"female","wheat",2,38
29.9569169737356,4,5,"female","wheat",2,38
31.8150698922533,4,6,"female","wheat",2,40
34.1925138965319,4,7,"female","wheat",2,35
37.9335282439455,4,8,"female","wheat",2,37
41.4092253555554,4,9,"female","wheat",2,38
44.0844595462294,4,10,"female","wheat",2,39
47.7287385516853,4,11,"female","wheat",2,38
51.5670770207034,4,12,"female","wheat",2,36
54.861409474324,4,13,"female","wheat",2,35
59.5786699301171,4,14,"female","wheat",2,37
