"precrush","postcrush","recovered","recrush"
16.2,3.6,17.7,2.4
17.1,3.8,13.1,22.8
18.5,20.9,16.6,3
22,4.7,17.2,0.8
19.9,3.6,18.4,0.8
16.4,0.6,14.1,2
21.6,2,12.1,1.6
16.7,2.3,21.9,3.1
19.1,2.5,15.4,4.2
18.6,4,15.6,2.4
21.7,2.1,17.1,2.1
22.1,0.2,20.3,3.2
18.3,1.4,20.5,2.7
17.5,16.1,17.2,1.9
20.5,4.4,15,4.4
17.2,4.2,18.8,2.9
21.9,3.1,17.3,4.8
19.9,3.8,20.6,3
21.1,2.9,21.9,0.2
15.1,1.1,13,1.1
20.3,5,13.7,0.5
15.2,4.2,22.5,2.6
16.8,4.5,21.6,4.2
20.2,4.2,16.2,3.2
16.9,0.4,23,3.4
17.5,0.3,20.7,1.3
17.6,4.3,15.6,21
20.8,4.9,12.4,4.6
18.2,1.2,12,2.1
21.4,3,12.8,4.6
