"leaf","treatment","damage"
1,"A",2.38558409407124
2,"A",5.56560940971648
3,"A",2.18275187368594
4,"A",6.04565914498524
5,"A",5.86565211470618
6,"A",2.75736797099285
7,"A",2.82521638171304
8,"A",4.01101594927652
9,"A",4.51807517828376
10,"A",1.53782867764089
11,"A",5.90212896293593
12,"A",2.70424449576908
13,"A",2.23536651928124
14,"A",5.70018389995731
15,"A",4.94691234072849
16,"A",2.77186150480114
17,"A",3.6290724625158
18,"A",3.32386891913159
19,"A",1.0043040860659
20,"A",3.62646746556565
21,"A",1.90199322860593
22,"B",2.36672531584361
23,"B",1.76929668973343
24,"B",1.63406748963373
25,"B",2.10571683327766
26,"B",4.20561962399292
27,"B",2.24857688373807
28,"B",3.27511033873067
29,"B",4.80452469353185
30,"B",1.71093089985438
31,"B",2.52441215001981
32,"B",2.15306899153555
33,"B",3.22352981323941
34,"B",2.03322818477417
35,"B",2.95495090700708
36,"B",4.51355411374626
37,"B",2.99353502972572
38,"B",8.10319037000058
39,"B",2.68964668937516
40,"B",2.43952346351673
41,"B",10.7834719938461
42,"B",6.00548041919975
43,"C",3.18288161399174
44,"C",5.50889851860954
45,"C",5.3750311873439
46,"C",4.1235093299299
47,"C",6.55146490229466
48,"C",6.0736603437246
49,"C",3.68636790736042
50,"C",9.45506054211414
51,"C",5.23536162009076
52,"C",21.2561021604018
53,"C",3.6490128605088
54,"C",3.12343524379793
55,"C",4.84378110451536
56,"C",14.2215374611513
57,"C",7.49281848513709
58,"C",4.79161940826086
59,"C",2.89172082304296
60,"C",4.43692034291737
61,"C",3.17706710598255
62,"C",3.96961568217137
63,"C",6.19555214375264
64,"D",8.39449277227326
65,"D",4.34936189910436
66,"D",7.95488227862758
67,"D",10.5203289285844
68,"D",7.5668284230697
69,"D",11.3148922160573
70,"D",5.17749740608547
71,"D",1.77681367451978
72,"D",6.83304944784607
73,"D",17.6086435156423
74,"D",5.05356091846224
75,"D",4.97828782191983
76,"D",4.35333404145593
77,"D",12.5542441273332
78,"D",7.37730564015216
79,"D",7.5917043109122
80,"D",4.67806864840797
81,"D",3.00402201261181
82,"D",3.98579364706425
83,"D",16.7347913803261
84,"D",6.20174663535245
