"week","host","treatment","infected"
0,1,"Control",1
1,1,"Control",1
2,1,"Control",1
3,1,"Control",1
0,2,"Control",0
1,2,"Control",0
2,2,"Control",0
3,2,"Control",0
0,3,"Control",0
1,3,"Control",1
2,3,"Control",0
3,3,"Control",1
0,4,"Control",1
1,4,"Control",1
2,4,"Control",1
3,4,"Control",0
0,5,"Control",1
1,5,"Control",0
2,5,"Control",0
3,5,"Control",1
0,6,"Control",0
1,6,"Control",1
2,6,"Control",1
3,6,"Control",1
0,7,"Control",0
1,7,"Control",0
2,7,"Control",0
3,7,"Control",0
0,8,"Control",0
1,8,"Control",1
2,8,"Control",1
3,8,"Control",1
0,9,"Control",0
1,9,"Control",1
2,9,"Control",1
3,9,"Control",1
0,10,"Control",1
1,10,"Control",1
2,10,"Control",1
3,10,"Control",0
0,11,"Control",1
1,11,"Control",0
2,11,"Control",0
3,11,"Control",1
0,12,"Control",1
1,12,"Control",0
2,12,"Control",1
3,12,"Control",0
0,13,"Control",1
1,13,"Control",0
2,13,"Control",0
3,13,"Control",1
0,14,"Control",0
1,14,"Control",0
2,14,"Control",0
3,14,"Control",1
0,15,"Control",0
1,15,"Control",0
2,15,"Control",0
3,15,"Control",0
0,16,"Control",1
1,16,"Control",0
2,16,"Control",1
3,16,"Control",0
0,17,"Control",1
1,17,"Control",0
2,17,"Control",0
3,17,"Control",1
0,18,"Control",1
1,18,"Control",0
2,18,"Control",1
3,18,"Control",0
0,19,"Control",0
1,19,"Control",1
2,19,"Control",0
3,19,"Control",0
0,20,"Control",1
1,20,"Control",1
2,20,"Control",1
3,20,"Control",1
0,21,"Control",0
1,21,"Control",0
2,21,"Control",0
3,21,"Control",0
0,22,"Control",1
1,22,"Control",1
2,22,"Control",1
3,22,"Control",1
0,23,"Control",0
1,23,"Control",1
2,23,"Control",1
3,23,"Control",1
0,24,"Control",1
1,24,"Control",1
2,24,"Control",1
3,24,"Control",0
0,25,"Control",1
1,25,"Control",1
2,25,"Control",1
3,25,"Control",0
0,26,"Control",1
1,26,"Control",0
2,26,"Control",1
3,26,"Control",1
0,27,"Control",1
1,27,"Control",1
2,27,"Control",1
3,27,"Control",1
0,28,"Control",0
1,28,"Control",0
2,28,"Control",1
3,28,"Control",0
0,29,"Control",0
1,29,"Control",1
2,29,"Control",0
3,29,"Control",1
0,30,"Control",1
1,30,"Control",1
2,30,"Control",1
3,30,"Control",1
0,31,"Control",0
1,31,"Control",0
2,31,"Control",0
3,31,"Control",0
0,32,"Control",1
1,32,"Control",1
2,32,"Control",1
3,32,"Control",0
0,33,"Control",1
1,33,"Control",1
2,33,"Control",1
3,33,"Control",1
0,34,"Control",1
1,34,"Control",1
2,34,"Control",0
3,34,"Control",1
0,35,"Control",1
1,35,"Control",1
2,35,"Control",0
3,35,"Control",0
0,36,"Control",0
1,36,"Control",0
2,36,"Control",0
3,36,"Control",0
0,37,"Vaccine",0
1,37,"Vaccine",0
2,37,"Vaccine",1
3,37,"Vaccine",0
0,38,"Vaccine",0
1,38,"Vaccine",0
2,38,"Vaccine",0
3,38,"Vaccine",0
0,39,"Vaccine",1
1,39,"Vaccine",1
2,39,"Vaccine",0
