"","length","feeding","activity"
"s3",-1.35,"spec","no"
"s4",-1.57,"spec","no"
"s6",-0.6,"spec","no"
"s8",-1.58,"spec","di"
"s9",-1.14,"spec","di"
"s10",-0.36,"spec","no"
"s11",2.32,"gen","no"
"s12",1.07,"gen","di"
"s14",0.13,"spec","di"
"s15",0.08,"spec","no"
"s16",0.07,"spec","di"
"s17",-1.23,"gen","no"
"s18",-0.79,"spec","no"
"s22",0.51,"spec","no"
"s24",1.35,"gen","no"
"s26",0.06,"gen","di"
"s27",-0.41,"spec","di"
"s28",0.05,"spec","di"
"s29",0.07,"gen","no"
"s30",-0.99,"spec","di"
"s34",-2.3,"spec","di"
"s35",-2.53,"spec","no"
"s36",-2.02,"spec","di"
"s37",-0.6,"spec","di"
"s41",-5.19,"spec","di"
"s42",-4.52,"spec","no"
"s44",0.12,"spec","di"
"s45",0.9,"gen","no"
"s46",-0.66,"spec","no"
"s50",-1.05,"spec","no"
"s51",-1.23,"gen","di"
"s52",-1.84,"gen","no"
"s53",-2.02,"spec","no"
"s54",-2.55,"spec","di"
"s55",0.1,"gen","di"
"s56",0.44,"gen","di"
"s57",-0.9,"gen","di"
"s58",-0.51,"spec","no"
"s60",-1.93,"gen","di"
"s61",-1.67,"spec","no"
"s62",-1.93,"spec","no"
"s63",-1.57,"spec","no"
"s64",-1.63,"spec","no"
"s65",-0.91,"spec","di"
"s67",-1.15,"spec","di"
"s68",-0.06,"spec","di"
"s69",-0.98,"gen","di"
"s72",-3.29,"spec","no"
"s73",-1.49,"spec","di"
"s74",-2.02,"spec","di"
"s75",-0.76,"gen","di"
"s76",0.35,"spec","di"
"s79",-2.84,"spec","no"
"s80",-2.04,"spec","no"
"s81",-1.92,"spec","di"
"s82",-1.85,"spec","di"
"s83",-1.83,"gen","di"
"s84",-1.71,"spec","di"
"s85",-2.38,"spec","no"
"s86",-1.96,"gen","di"
"s87",-2.42,"spec","di"
"s88",-0.55,"spec","no"
"s89",0.05,"spec","no"
"s90",-0.12,"spec","di"
"s93",-0.23,"spec","di"
"s96",0.75,"gen","no"
"s97",0.33,"gen","no"
"s98",0.21,"gen","no"
"s99",0.78,"gen","no"
"s100",-1.22,"spec","di"
"s101",-0.77,"spec","di"
"s102",-0.99,"spec","di"
"s103",-0.67,"spec","di"
"s104",-0.81,"spec","di"
"s105",-0.81,"spec","di"
"s106",0.31,"spec","di"
"s110",0.45,"gen","di"
"s111",1.52,"gen","di"
"s112",1.19,"gen","no"
"s113",0.79,"spec","di"
"s114",0.99,"gen","no"
"s115",0.02,"gen","no"
"s118",-2.96,"spec","di"
"s119",-0.91,"gen","di"
"s121",3.92,"spec","di"
"s123",4.3,"spec","no"
"s124",3.39,"spec","no"
"s125",3.55,"spec","di"
"s126",3.57,"spec","no"
"s127",3.53,"gen","di"
"s129",2.51,"gen","no"
"s130",3.93,"gen","no"
"s131",3.7,"gen","no"
"s133",3,"gen","di"
"s134",2.87,"gen","no"
"s135",3.07,"gen","no"
"s137",-1.55,"spec","di"
"s138",-0.52,"spec","no"
"s139",-0.31,"spec","di"
"s140",-1.06,"gen","no"
