wing_length_mm,body_mass_g
25.28,22.29
29.8,27.39
26.48,17.26
28.45,20.33
34.53,22.82
31.91,18.96
27.9,21.92
26.96,25.73
30.1,24.19
26.35,23.77
27.99,27.26
30.94,29.45
33.47,26.53
31.83,29.97
23.13,21.84
30.91,22.94
30.22,23.32
31.24,21.18
34.85,24.76
23.81,20.83
28.23,26.52
31.77,31.05
25.26,18.48
34.43,28.39
31.11,22.43
32.54,27.69
28.29,23.75
32.44,20.73
33.21,29.39
30.7,23.53
30.7,23.75
30.81,22.2
27.41,21.74
29.56,26.06
29.54,24.2
31.15,26.56
33.0,27.59
26.82,27.37
29.62,23.78
34.44,22.79
27.77,27.09
27.53,22.77
30.61,28.65
32.53,27.42
30.03,24.62
33.99,28.04
32.57,32.14
32.53,32.49
31.66,26.04
36.98,28.97
29.38,27.92
23.99,19.46
34.81,28.41
28.63,24.24
30.32,26.1
33.93,24.46
25.19,17.83
26.25,16.9
25.2,19.25
27.62,22.43
31.32,24.78
31.57,31.6
30.83,28.73
25.76,19.99
23.07,22.58
30.16,23.86
28.58,23.44
31.38,26.25
32.11,27.91
30.41,24.19
32.28,29.33
30.69,21.92
31.59,25.81
27.89,31.74
29.46,25.4
30.59,29.59
32.46,26.51
28.82,26.15
31.56,25.61
29.2,24.09
