hybridization_id,divergence_mya,outcome
1,0.0,fertile
2,1.0101010101010102,fertile
3,2.0202020202020203,fertile
4,3.0303030303030303,fertile
5,4.040404040404041,fertile
6,5.050505050505051,fertile
7,6.0606060606060606,fertile
8,7.070707070707071,fertile
9,8.080808080808081,fertile
10,9.090909090909092,fertile
11,10.101010101010102,fertile
12,11.111111111111112,fertile
13,12.121212121212121,fertile
14,13.131313131313131,infertile
15,14.141414141414142,fertile
16,15.151515151515152,fertile
17,16.161616161616163,fertile
18,17.171717171717173,fertile
19,18.181818181818183,fertile
20,19.191919191919194,fertile
21,20.202020202020204,fertile
22,21.212121212121215,fertile
23,22.222222222222225,fertile
24,23.232323232323235,fertile
25,24.242424242424242,fertile
26,25.252525252525253,fertile
27,26.262626262626263,fertile
28,27.272727272727273,fertile
29,28.282828282828284,fertile
30,29.292929292929294,fertile
31,30.303030303030305,infertile
32,31.313131313131315,fertile
33,32.323232323232325,fertile
34,33.333333333333336,fertile
35,34.343434343434346,fertile
36,35.35353535353536,infertile
37,36.36363636363637,fertile
38,37.37373737373738,fertile
39,38.38383838383839,fertile
40,39.3939393939394,fertile
41,40.40404040404041,fertile
42,41.41414141414142,infertile
43,42.42424242424243,infertile
44,43.43434343434344,infertile
45,44.44444444444445,fertile
46,45.45454545454546,infertile
47,46.46464646464647,infertile
48,47.47474747474748,fertile
49,48.484848484848484,infertile
50,49.494949494949495,infertile
51,50.505050505050505,infertile
52,51.515151515151516,fertile
53,52.525252525252526,infertile
54,53.535353535353536,infertile
55,54.54545454545455,infertile
56,55.55555555555556,infertile
57,56.56565656565657,infertile
58,57.57575757575758,infertile
59,58.58585858585859,fertile
60,59.5959595959596,infertile
61,60.60606060606061,infertile
62,61.61616161616162,infertile
63,62.62626262626263,infertile
64,63.63636363636364,infertile
65,64.64646464646465,infertile
66,65.65656565656566,infertile
67,66.66666666666667,infertile
68,67.67676767676768,infertile
69,68.68686868686869,infertile
70,69.6969696969697,infertile
71,70.70707070707071,infertile
72,71.71717171717172,infertile
73,72.72727272727273,infertile
74,73.73737373737374,infertile
75,74.74747474747475,infertile
76,75.75757575757576,infertile
77,76.76767676767678,infertile
78,77.77777777777779,infertile
79,78.7878787878788,infertile
80,79.7979797979798,infertile
81,80.80808080808082,infertile
82,81.81818181818183,infertile
83,82.82828282828284,infertile
84,83.83838383838385,infertile
85,84.84848484848486,infertile
86,85.85858585858587,infertile
87,86.86868686868688,infertile
88,87.87878787878789,infertile
89,88.8888888888889,infertile
90,89.89898989898991,infertile
91,90.90909090909092,infertile
92,91.91919191919193,fertile
93,92.92929292929294,infertile
94,93.93939393939395,infertile
95,94.94949494949496,infertile
96,95.95959595959597,infertile
97,96.96969696969697,infertile
98,97.97979797979798,infertile
99,98.98989898989899,infertile
100,100.0,infertile
