Weight Change,Genotype,Environment
31.7,deep,deep
28.6,deep,deep
27,deep,deep
22.2,deep,deep
21.3,deep,deep
16.4,deep,deep
16.4,deep,deep
13.5,deep,deep
12.4,deep,deep
12.4,deep,deep
8.8,deep,deep
-1,deep,deep
11.8,shallow,deep
8.8,shallow,deep
7.5,shallow,deep
4.5,shallow,deep
4.2,shallow,deep
3.4,shallow,deep
1.7,shallow,deep
13.5,deep,shallow
13,deep,shallow
9.6,deep,shallow
6.8,deep,shallow
6.2,deep,shallow
6.2,deep,shallow
5.4,deep,shallow
4.6,deep,shallow
2.5,deep,shallow
0.2,deep,shallow
-1,deep,shallow
-2.8,deep,shallow
12.4,shallow,shallow
10.6,shallow,shallow
8.4,shallow,shallow
7.8,shallow,shallow
6.1,shallow,shallow
4.5,shallow,shallow
4.5,shallow,shallow
3,shallow,shallow
2.4,shallow,shallow
1.9,shallow,shallow
1.3,shallow,shallow
0.8,shallow,shallow
