subject,trial,treatment,latency_sec
1,1,Ctrl,10.664
1,2,Ctrl,10.895
1,3,Ctrl,8.584
2,1,Ctrl,12.175
2,2,Ctrl,10.862
2,3,Ctrl,8.697
3,1,Ctrl,11.617
3,2,Ctrl,11.652
3,3,Ctrl,9.688
4,1,Drug,7.829
4,2,Drug,9.449
4,3,Drug,6.707
5,1,Drug,10.438
5,2,Drug,9.471
5,3,Drug,10.188
6,1,Drug,7.078
6,2,Drug,6.807
6,3,Drug,7.327
7,1,Drug,7.692
7,2,Drug,10.6
7,3,Drug,5.166
8,1,Drug,8.35
8,2,Drug,8.612
8,3,Drug,8.873
9,1,Drug,9.458
9,2,Drug,6.131
9,3,Drug,6.486
10,1,Drug,10.328
10,2,Drug,9.328
10,3,Drug,6.794
11,1,Ctrl,10.926
11,2,Ctrl,11.793
11,3,Ctrl,10.441
12,1,Ctrl,11.699
12,2,Ctrl,8.866
12,3,Ctrl,11.228
13,1,Ctrl,12.41
13,2,Ctrl,10.955
13,3,Ctrl,9.219
14,1,Ctrl,9.924
14,2,Ctrl,10.147
14,3,Ctrl,9.604
15,1,Ctrl,11.152
15,2,Ctrl,9.179
15,3,Ctrl,9.789
16,1,Drug,8.773
16,2,Drug,9.687
16,3,Drug,8.431
17,1,Ctrl,13.384
17,2,Ctrl,11.719
17,3,Ctrl,9.037
18,1,Ctrl,11.242
18,2,Ctrl,10.979
18,3,Ctrl,11.548
19,1,Drug,8.079
19,2,Drug,7.766
19,3,Drug,7.221
20,1,Ctrl,12.253
20,2,Ctrl,11.189
20,3,Ctrl,11.986
