"","damn.size","sire.size","offspring.size","offspring.horns"
"1",11.21,11.04,11.5,1.01
"2",9.69,10.83,11.6,1.09
"3",11.01,8.77,10.6,1.09
"4",8.16,11.69,9.9,1.49
"5",10.69,9.67,10.7,0.76
"6",10.36,11.13,12.1,1.06
"7",9.4,9.65,12.1,0.63
"8",10.06,8.75,10,0.77
"9",9.55,11.11,12.2,1.14
"10",9.59,9.74,8.6,1.12
"11",9.75,9.86,8.3,1.08
"12",8.35,9.92,7.9,1.14
"13",11.48,11.86,12.1,1.09
"14",11.26,12.04,11,1.19
"15",9.84,8.85,10,0.55
"16",9.6,10.84,10.2,1.4
"17",7.72,11.01,10.3,1.34
"18",11.2,8.97,9,0.66
"19",10.44,9.36,11.2,1.14
"20",8.53,8.99,9.4,1.17
"21",8.34,10.75,10.5,1.36
"22",9.68,9.69,9.9,1.2
"23",11.15,11.2,10.2,0.9
"24",10.1,9.83,9.5,0.73
"25",9.46,8.57,9.8,1.04
"26",10.61,10.34,8.5,1.18
"27",10.58,7.91,11.8,0.73
"28",8.62,10.89,11.8,1.34
"29",9.55,9.42,10.7,1.06
"30",10.23,10.38,9,1.22
"31",8.58,10.23,8.4,1.12
"32",8.52,9.13,8.3,1.17
"33",10.05,10.79,10.3,1.2
"34",11.79,9.77,10.5,1.1
"35",8.86,8.37,8.3,1.32
"36",11.78,10.65,11.3,0.94
"37",10.3,9.1,8.6,1.25
"38",11.16,10.88,10.6,0.73
"39",8.82,11.32,9,1.16
"40",9.4,11.36,10.5,0.9
"41",9.31,10.28,10.7,0.86
"42",9.71,9.47,10,0.7
"43",11.28,10.52,11.8,1.08
"44",8.66,9,8.2,1.2
"45",10.52,9.88,10.7,0.99
"46",9.09,8.03,9.1,0.95
"47",10.87,8.8,10.3,0.63
"48",9.82,10.47,9.3,1.04
"49",11.92,8.24,8.8,1
"50",10.11,10.62,10.2,1.12
"51",9.38,9.62,10.6,1.18
"52",9.75,11.64,11.8,1.16
"53",11.87,11.61,12.3,0.97
"54",10.13,10.74,9.8,1.11
"55",8.59,11.12,10,1.2
"56",10.87,10.97,10.4,1.03
"57",8.21,8.74,8.4,1.05
"58",11.56,11.03,10.8,0.75
"59",10.39,10.47,11.3,1.03
"60",10.51,9.9,7.7,0.86
"61",8.92,8.48,7.4,0.44
"62",9.54,8.47,7.4,0.91
"63",9.56,10.13,9.3,1.02
"64",9.81,11.15,11.2,1.3
"65",8.31,10.13,9.1,1.23
"66",10.41,8.46,7.9,0.83
"67",9.23,10.88,9.4,1
"68",9.75,10.51,9.2,1
"69",9.4,7.97,8.6,1.04
"70",10.15,10.88,11.1,0.97
"71",9,9.96,10.1,1.25
"72",8.82,9.75,9.2,1.28
"73",9.29,10.11,9.3,0.81
"74",9.68,10.41,9.6,1.06
"75",10.44,9.05,7.9,0.99
"76",10.55,10.54,8.3,0.7
"77",8.18,10.19,9.3,1.55
"78",9.99,10,11.4,0.67
"79",8.24,9.95,8.8,1.31
"80",9.95,9.99,8.7,1.07
"81",10.33,10.97,10.9,1.08
"82",11.46,9.89,12,0.77
"83",8.68,9.21,9.2,1.25
"84",9.88,8.08,7.8,0.91
"85",7.93,9.81,10,1.09
"86",9.44,9.23,8.8,0.97
"87",11.23,9.43,7.7,0.67
"88",10.39,10.5,10.2,0.83
"89",10.3,8.19,7.8,0.89
"90",9.06,11.9,9.9,1.33
"91",9.02,11.26,8,1.18
"92",9.63,9.72,9,1.45
"93",10.83,10.21,9.9,1.06
"94",9.44,9.94,10.3,1.12
"95",9.67,10.81,9.2,0.77
"96",8.94,9.47,7.8,1.34
"97",9.39,10.84,10.6,0.98
"98",9.62,10.55,9.9,1.29
"99",9.39,9.97,9.4,1.62
"100",9.37,8.64,7.3,0.81
