subject,time,response
1,T1,10.415
1,T2,12.336
1,T3,12.987
2,T1,9.279
2,T2,10.378
2,T3,10.191
3,T1,8.599
3,T2,9.587
3,T3,10.677
4,T1,7.291
4,T2,10.57
4,T3,11.328
5,T1,8.163
5,T2,9.55
5,T3,11.241
6,T1,10.217
6,T2,11.048
6,T3,11.899
7,T1,9.75
7,T2,10.479
7,T3,11.076
8,T1,10.286
8,T2,10.29
8,T3,10.839
9,T1,8.079
9,T2,10.297
9,T3,10.856
10,T1,8.62
10,T2,9.68
10,T3,10.349
11,T1,10.553
11,T2,10.617
11,T3,11.482
12,T1,8.827
12,T2,9.192
12,T3,9.5
13,T1,9.92
13,T2,10.714
13,T3,10.927
14,T1,11.872
14,T2,12.291
14,T3,13.878
15,T1,9.429
15,T2,10.676
15,T3,11.094
