"food","choice"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Open"
"Low","Shelter"
"Low","Open"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Surface"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Open"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Surface"
"Low","Surface"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Surface"
"Low","Surface"
"Low","Shelter"
"Low","Open"
"Low","Surface"
"Low","Shelter"
"Low","Open"
"Low","Surface"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Surface"
"Low","Open"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Open"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Open"
"Low","Open"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Open"
"Low","Surface"
"Low","Shelter"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Open"
"Low","Shelter"
"Low","Open"
"Low","Shelter"
"Low","Open"
"Low","Open"
"Low","Open"
"Low","Shelter"
"Low","Shelter"
"Low","Surface"
"Low","Shelter"
"Low","Surface"
"High","Open"
"High","Open"
"High","Shelter"
"High","Surface"
"High","Shelter"
"High","Open"
"High","Shelter"
"High","Surface"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Surface"
"High","Surface"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Surface"
"High","Open"
"High","Open"
"High","Open"
"High","Shelter"
"High","Open"
"High","Shelter"
"High","Open"
"High","Open"
"High","Surface"
"High","Open"
"High","Surface"
"High","Open"
"High","Shelter"
"High","Open"
"High","Open"
"High","Shelter"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Surface"
"High","Surface"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Open"
"High","Open"
"High","Surface"
"High","Open"
"High","Open"
"High","Surface"
"High","Surface"
"High","Surface"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Shelter"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Shelter"
"High","Shelter"
"High","Shelter"
"High","Surface"
"High","Open"
"High","Shelter"
"High","Shelter"
"High","Surface"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Shelter"
"High","Surface"
"High","Surface"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Surface"
"High","Open"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Surface"
"High","Open"
"High","Surface"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Open"
"High","Shelter"
"High","Shelter"
"High","Shelter"
"High","Open"
"High","Surface"
"High","Open"
