"lineage","megabases","mutations"
1,14.7936320584267,7
2,19.4386634835973,6
3,19.1721002459526,3
4,12.0031125238165,4
5,18.0816876189783,5
6,13.0544407246634,7
7,19.277572770603,9
8,17.3102049743757,14
9,16.4406800409779,3
10,15.3424577461556,8
11,11.661402747035,2
12,18.2719311472028,4
13,17.6752802645788,8
14,14.3269145637751,6
15,14.4777782037854,5
16,13.1192556601018,3
17,13.4227194916457,6
18,13.5044910116121,7
19,10.7678324412555,0
20,11.7280876738951,2
21,16.3796441312879,7
22,10.8021927373484,7
23,10.389548313804,7
24,12.1244687885046,7
25,9.62809926830232,1
26,15.1568211996928,2
27,16.1362427575514,6
28,14.3161912765354,8
29,12.9282582914457,8
30,15.0931917028502,4
31,19.8682999778539,6
32,15.0863314950839,10
33,8.53240980301052,3
34,11.4554761247709,6
35,8.5728602418676,4
36,8.06427577231079,4
37,8.93791462481022,4
38,19.6825936101377,11
39,8.12590111698955,4
40,14.5620700083673,8
41,14.1364216990769,3
42,16.6763390954584,5
43,15.3606505049393,5
44,17.3616778897122,9
45,14.0326119763777,8
46,18.7247760109603,14
47,9.4277279060334,2
48,19.234244659543,4
49,13.2224591784179,9
50,17.8326137056574,7
51,12.2408642517403,4
52,8.34275298845023,6
53,11.5412608496845,5
54,16.2660392327234,7
55,14.0046886717901,3
56,18.352026110515,6
57,17.1246271878481,8
58,10.1395230991766,4
59,12.3823000779375,7
60,8.87371206562966,3
